#    L    TT             EE             TE             PP             TP          
    75   0.198583E+04   0.395171E+00  -0.806999E+01   0.537011E+07   0.854327E+04
    76   0.201158E+04   0.409369E+00  -0.857906E+01   0.534102E+07   0.842459E+04
    77   0.203753E+04   0.423736E+00  -0.909854E+01   0.531182E+07   0.830868E+04
    78   0.206364E+04   0.438261E+00  -0.962798E+01   0.528255E+07   0.819514E+04
    79   0.208996E+04   0.452931E+00  -0.101672E+02   0.525321E+07   0.808359E+04
    80   0.211652E+04   0.467736E+00  -0.107162E+02   0.522384E+07   0.797361E+04
    81   0.214333E+04   0.482664E+00  -0.112748E+02   0.519445E+07   0.786493E+04
    82   0.217041E+04   0.497705E+00  -0.118425E+02   0.516505E+07   0.775766E+04
    83   0.219774E+04   0.512847E+00  -0.124190E+02   0.513567E+07   0.765203E+04
    84   0.222532E+04   0.528081E+00  -0.130039E+02   0.510631E+07   0.754828E+04
    85   0.225313E+04   0.543394E+00  -0.135969E+02   0.507700E+07   0.744663E+04
    86   0.228118E+04   0.558778E+00  -0.141974E+02   0.504773E+07   0.734726E+04
    87   0.230943E+04   0.574218E+00  -0.148050E+02   0.501853E+07   0.725019E+04
    88   0.233787E+04   0.589702E+00  -0.154191E+02   0.498940E+07   0.715540E+04
    89   0.236650E+04   0.605216E+00  -0.160392E+02   0.496035E+07   0.706284E+04
    90   0.239533E+04   0.620745E+00  -0.166652E+02   0.493138E+07   0.697250E+04
    91   0.242437E+04   0.636274E+00  -0.172964E+02   0.490251E+07   0.688434E+04
    92   0.245361E+04   0.651788E+00  -0.179328E+02   0.487373E+07   0.679828E+04
    93   0.248307E+04   0.667273E+00  -0.185736E+02   0.484506E+07   0.671427E+04
    94   0.251275E+04   0.682716E+00  -0.192189E+02   0.481649E+07   0.663222E+04
    95   0.254266E+04   0.698102E+00  -0.198679E+02   0.478802E+07   0.655207E+04
    96   0.257279E+04   0.713417E+00  -0.205203E+02   0.475967E+07   0.647374E+04
    97   0.260315E+04   0.728647E+00  -0.211757E+02   0.473144E+07   0.639717E+04
    98   0.263374E+04   0.743775E+00  -0.218336E+02   0.470332E+07   0.632228E+04
    99   0.266453E+04   0.758789E+00  -0.224935E+02   0.467532E+07   0.624900E+04
   100   0.269556E+04   0.773676E+00  -0.231550E+02   0.464746E+07   0.617726E+04
   101   0.272680E+04   0.788422E+00  -0.238174E+02   0.461972E+07   0.610699E+04
   102   0.275825E+04   0.803005E+00  -0.244804E+02   0.459211E+07   0.603811E+04
   103   0.278991E+04   0.817425E+00  -0.251434E+02   0.456465E+07   0.597055E+04
   104   0.282178E+04   0.831652E+00  -0.258059E+02   0.453732E+07   0.590425E+04
   105   0.285384E+04   0.845679E+00  -0.264674E+02   0.451014E+07   0.583913E+04
   106   0.288609E+04   0.859492E+00  -0.271271E+02   0.448310E+07   0.577511E+04
   107   0.291852E+04   0.873083E+00  -0.277846E+02   0.445622E+07   0.571214E+04
   108   0.295112E+04   0.886430E+00  -0.284395E+02   0.442950E+07   0.565013E+04
   109   0.298389E+04   0.899527E+00  -0.290909E+02   0.440293E+07   0.558902E+04
   110   0.301683E+04   0.912350E+00  -0.297384E+02   0.437652E+07   0.552873E+04
   111   0.304992E+04   0.924893E+00  -0.303816E+02   0.435028E+07   0.546920E+04
   112   0.308316E+04   0.937149E+00  -0.310197E+02   0.432421E+07   0.541043E+04
   113   0.311655E+04   0.949094E+00  -0.316523E+02   0.429830E+07   0.535241E+04
   114   0.315008E+04   0.960713E+00  -0.322788E+02   0.427257E+07   0.529516E+04
   115   0.318373E+04   0.972007E+00  -0.328985E+02   0.424700E+07   0.523868E+04
   116   0.321751E+04   0.982960E+00  -0.335110E+02   0.422159E+07   0.518296E+04
   117   0.325142E+04   0.993550E+00  -0.341157E+02   0.419636E+07   0.512803E+04
   118   0.328542E+04   0.100378E+01  -0.347119E+02   0.417130E+07   0.507386E+04
   119   0.331954E+04   0.101362E+01  -0.352992E+02   0.414640E+07   0.502049E+04
   120   0.335374E+04   0.102309E+01  -0.358770E+02   0.412168E+07   0.496789E+04
   121   0.338804E+04   0.103215E+01  -0.364447E+02   0.409713E+07   0.491609E+04
   122   0.342240E+04   0.104080E+01  -0.370018E+02   0.407274E+07   0.486508E+04
   123   0.345684E+04   0.104904E+01  -0.375477E+02   0.404853E+07   0.481487E+04
   124   0.349134E+04   0.105684E+01  -0.380819E+02   0.402449E+07   0.476546E+04
   125   0.352589E+04   0.106421E+01  -0.386038E+02   0.400063E+07   0.471685E+04
   126   0.356049E+04   0.107114E+01  -0.391129E+02   0.397693E+07   0.466906E+04
   127   0.359512E+04   0.107762E+01  -0.396086E+02   0.395341E+07   0.462207E+04
   128   0.362977E+04   0.108363E+01  -0.400906E+02   0.393006E+07   0.457591E+04
   129   0.366445E+04   0.108919E+01  -0.405581E+02   0.390689E+07   0.453056E+04
   130   0.369913E+04   0.109426E+01  -0.410107E+02   0.388389E+07   0.448604E+04
   131   0.373381E+04   0.109886E+01  -0.414478E+02   0.386107E+07   0.444234E+04
   132   0.376848E+04   0.110299E+01  -0.418690E+02   0.383842E+07   0.439945E+04
   133   0.380314E+04   0.110662E+01  -0.422738E+02   0.381594E+07   0.435733E+04
   134   0.383777E+04   0.110977E+01  -0.426617E+02   0.379364E+07   0.431596E+04
   135   0.387237E+04   0.111242E+01  -0.430323E+02   0.377150E+07   0.427533E+04
   136   0.390693E+04   0.111459E+01  -0.433850E+02   0.374954E+07   0.423540E+04
   137   0.394145E+04   0.111625E+01  -0.437194E+02   0.372774E+07   0.419614E+04
   138   0.397591E+04   0.111742E+01  -0.440351E+02   0.370611E+07   0.415754E+04
   139   0.401030E+04   0.111810E+01  -0.443316E+02   0.368465E+07   0.411956E+04
   140   0.404463E+04   0.111827E+01  -0.446086E+02   0.366336E+07   0.408219E+04
   141   0.407888E+04   0.111797E+01  -0.448657E+02   0.364223E+07   0.404539E+04
   142   0.411304E+04   0.111716E+01  -0.451023E+02   0.362126E+07   0.400915E+04
   143   0.414711E+04   0.111586E+01  -0.453182E+02   0.360046E+07   0.397343E+04
   144   0.418107E+04   0.111409E+01  -0.455129E+02   0.357982E+07   0.393822E+04
   145   0.421492E+04   0.111182E+01  -0.456860E+02   0.355933E+07   0.390348E+04
   146   0.424864E+04   0.110907E+01  -0.458372E+02   0.353901E+07   0.386920E+04
   147   0.428221E+04   0.110586E+01  -0.459659E+02   0.351885E+07   0.383534E+04
   148   0.431562E+04   0.110218E+01  -0.460719E+02   0.349885E+07   0.380189E+04
   149   0.434886E+04   0.109804E+01  -0.461547E+02   0.347900E+07   0.376881E+04
   150   0.438191E+04   0.109345E+01  -0.462139E+02   0.345931E+07   0.373608E+04
   151   0.441475E+04   0.108842E+01  -0.462492E+02   0.343977E+07   0.370368E+04
   152   0.444739E+04   0.108295E+01  -0.462602E+02   0.342038E+07   0.367161E+04
   153   0.447981E+04   0.107705E+01  -0.462468E+02   0.340115E+07   0.363986E+04
   154   0.451202E+04   0.107075E+01  -0.462087E+02   0.338207E+07   0.360843E+04
   155   0.454400E+04   0.106404E+01  -0.461456E+02   0.336315E+07   0.357732E+04
   156   0.457576E+04   0.105694E+01  -0.460572E+02   0.334437E+07   0.354653E+04
   157   0.460728E+04   0.104946E+01  -0.459434E+02   0.332574E+07   0.351606E+04
   158   0.463856E+04   0.104163E+01  -0.458038E+02   0.330726E+07   0.348590E+04
   159   0.466960E+04   0.103343E+01  -0.456383E+02   0.328893E+07   0.345605E+04
   160   0.470038E+04   0.102491E+01  -0.454467E+02   0.327074E+07   0.342652E+04
   161   0.473088E+04   0.101606E+01  -0.452287E+02   0.325270E+07   0.339730E+04
   162   0.476109E+04   0.100691E+01  -0.449842E+02   0.323481E+07   0.336838E+04
   163   0.479100E+04   0.997488E+00  -0.447128E+02   0.321706E+07   0.333977E+04
   164   0.482060E+04   0.987790E+00  -0.444146E+02   0.319945E+07   0.331146E+04
   165   0.484987E+04   0.977839E+00  -0.440891E+02   0.318198E+07   0.328346E+04
   166   0.487881E+04   0.967658E+00  -0.437365E+02   0.316466E+07   0.325576E+04
   167   0.490741E+04   0.957269E+00  -0.433564E+02   0.314747E+07   0.322835E+04
   168   0.493566E+04   0.946695E+00  -0.429490E+02   0.313043E+07   0.320125E+04
   169   0.496355E+04   0.935957E+00  -0.425141E+02   0.311352E+07   0.317444E+04
   170   0.499108E+04   0.925071E+00  -0.420516E+02   0.309675E+07   0.314793E+04
   171   0.501822E+04   0.914066E+00  -0.415614E+02   0.308012E+07   0.312171E+04
   172   0.504499E+04   0.902964E+00  -0.410436E+02   0.306362E+07   0.309578E+04
   173   0.507136E+04   0.891787E+00  -0.404981E+02   0.304725E+07   0.307014E+04
   174   0.509732E+04   0.880558E+00  -0.399248E+02   0.303103E+07   0.304478E+04
   175   0.512288E+04   0.869314E+00  -0.393239E+02   0.301493E+07   0.301972E+04
   176   0.514802E+04   0.858070E+00  -0.386954E+02   0.299897E+07   0.299493E+04
   177   0.517273E+04   0.846862E+00  -0.380391E+02   0.298313E+07   0.297043E+04
   178   0.519700E+04   0.835713E+00  -0.373553E+02   0.296743E+07   0.294620E+04
