#    L    TT             EE             TE             PP             TP          
   616   0.208574E+04   0.247444E+02   0.255710E+02   0.657594E+06   0.103412E+03
   617   0.207681E+04   0.250560E+02   0.248722E+02   0.655989E+06   0.104363E+03
   618   0.206795E+04   0.253668E+02   0.241411E+02   0.654389E+06   0.105316E+03
   619   0.205916E+04   0.256766E+02   0.233779E+02   0.652796E+06   0.106273E+03
   620   0.205044E+04   0.259855E+02   0.225829E+02   0.651208E+06   0.107233E+03
   621   0.204181E+04   0.262932E+02   0.217564E+02   0.649627E+06   0.108195E+03
   622   0.203326E+04   0.265996E+02   0.208987E+02   0.648052E+06   0.109160E+03
   623   0.202480E+04   0.269045E+02   0.200100E+02   0.646483E+06   0.110128E+03
   624   0.201643E+04   0.272080E+02   0.190907E+02   0.644920E+06   0.111097E+03
   625   0.200815E+04   0.275098E+02   0.181410E+02   0.643363E+06   0.112069E+03
   626   0.199998E+04   0.278097E+02   0.171613E+02   0.641812E+06   0.113043E+03
   627   0.199191E+04   0.281077E+02   0.161518E+02   0.640267E+06   0.114018E+03
   628   0.198396E+04   0.284036E+02   0.151129E+02   0.638728E+06   0.114994E+03
   629   0.197611E+04   0.286974E+02   0.140451E+02   0.637194E+06   0.115972E+03
   630   0.196838E+04   0.289889E+02   0.129488E+02   0.635667E+06   0.116952E+03
   631   0.196076E+04   0.292780E+02   0.118244E+02   0.634145E+06   0.117932E+03
   632   0.195327E+04   0.295645E+02   0.106723E+02   0.632630E+06   0.118912E+03
   633   0.194591E+04   0.298484E+02   0.949283E+01   0.631120E+06   0.119894E+03
   634   0.193868E+04   0.301295E+02   0.828658E+01   0.629615E+06   0.120876E+03
   635   0.193158E+04   0.304077E+02   0.705401E+01   0.628117E+06   0.121858E+03
   636   0.192462E+04   0.306829E+02   0.579558E+01   0.626624E+06   0.122840E+03
   637   0.191780E+04   0.309551E+02   0.451180E+01   0.625137E+06   0.123822E+03
   638   0.191112E+04   0.312240E+02   0.320320E+01   0.623655E+06   0.124803E+03
   639   0.190460E+04   0.314896E+02   0.187025E+01   0.622179E+06   0.125784E+03
   640   0.189822E+04   0.317518E+02   0.513466E+00   0.620709E+06   0.126765E+03
   641   0.189199E+04   0.320104E+02  -0.866630E+00   0.619244E+06   0.127744E+03
   642   0.188592E+04   0.322653E+02  -0.226946E+01   0.617785E+06   0.128723E+03
   643   0.188001E+04   0.325165E+02  -0.369443E+01   0.616331E+06   0.129700E+03
   644   0.187426E+04   0.327639E+02  -0.514094E+01   0.614883E+06   0.130676E+03
   645   0.186867E+04   0.330072E+02  -0.660841E+01   0.613440E+06   0.131650E+03
   646   0.186326E+04   0.332463E+02  -0.809625E+01   0.612002E+06   0.132623E+03
   647   0.185801E+04   0.334813E+02  -0.960379E+01   0.610570E+06   0.133593E+03
   648   0.185293E+04   0.337119E+02  -0.111306E+02   0.609143E+06   0.134562E+03
   649   0.184802E+04   0.339381E+02  -0.126758E+02   0.607722E+06   0.135528E+03
   650   0.184329E+04   0.341597E+02  -0.142389E+02   0.606306E+06   0.136491E+03
   651   0.183874E+04   0.343769E+02  -0.158192E+02   0.604895E+06   0.137452E+03
   652   0.183436E+04   0.345894E+02  -0.174159E+02   0.603489E+06   0.138410E+03
   653   0.183017E+04   0.347972E+02  -0.190286E+02   0.602089E+06   0.139366E+03
   654   0.182617E+04   0.350003E+02  -0.206565E+02   0.600693E+06   0.140318E+03
   655   0.182236E+04   0.351985E+02  -0.222989E+02   0.599303E+06   0.141267E+03
   656   0.181873E+04   0.353919E+02  -0.239551E+02   0.597918E+06   0.142212E+03
   657   0.181529E+04   0.355803E+02  -0.256245E+02   0.596538E+06   0.143154E+03
   658   0.181204E+04   0.357636E+02  -0.273063E+02   0.595164E+06   0.144092E+03
   659   0.180899E+04   0.359417E+02  -0.289998E+02   0.593794E+06   0.145027E+03
   660   0.180613E+04   0.361147E+02  -0.307042E+02   0.592430E+06   0.145957E+03
   661   0.180346E+04   0.362823E+02  -0.324190E+02   0.591070E+06   0.146883E+03
   662   0.180099E+04   0.364445E+02  -0.341433E+02   0.589715E+06   0.147805E+03
   663   0.179872E+04   0.366012E+02  -0.358764E+02   0.588366E+06   0.148723E+03
   664   0.179664E+04   0.367524E+02  -0.376175E+02   0.587021E+06   0.149636E+03
   665   0.179477E+04   0.368980E+02  -0.393659E+02   0.585682E+06   0.150545E+03
   666   0.179309E+04   0.370380E+02  -0.411210E+02   0.584347E+06   0.151448E+03
   667   0.179161E+04   0.371723E+02  -0.428819E+02   0.583017E+06   0.152347E+03
   668   0.179034E+04   0.373008E+02  -0.446478E+02   0.581692E+06   0.153240E+03
   669   0.178926E+04   0.374235E+02  -0.464181E+02   0.580372E+06   0.154129E+03
   670   0.178839E+04   0.375403E+02  -0.481920E+02   0.579057E+06   0.155012E+03
   671   0.178772E+04   0.376513E+02  -0.499687E+02   0.577746E+06   0.155889E+03
   672   0.178725E+04   0.377563E+02  -0.517475E+02   0.576440E+06   0.156760E+03
   673   0.178698E+04   0.378553E+02  -0.535276E+02   0.575140E+06   0.157626E+03
   674   0.178691E+04   0.379484E+02  -0.553084E+02   0.573843E+06   0.158486E+03
   675   0.178705E+04   0.380353E+02  -0.570890E+02   0.572552E+06   0.159340E+03
   676   0.178739E+04   0.381161E+02  -0.588686E+02   0.571265E+06   0.160187E+03
   677   0.178793E+04   0.381909E+02  -0.606465E+02   0.569983E+06   0.161028E+03
   678   0.178867E+04   0.382594E+02  -0.624219E+02   0.568705E+06   0.161862E+03
   679   0.178961E+04   0.383216E+02  -0.641939E+02   0.567432E+06   0.162690E+03
   680   0.179075E+04   0.383777E+02  -0.659618E+02   0.566164E+06   0.163511E+03
   681   0.179209E+04   0.384273E+02  -0.677247E+02   0.564900E+06   0.164325E+03
   682   0.179361E+04   0.384706E+02  -0.694818E+02   0.563641E+06   0.165131E+03
   683   0.179534E+04   0.385075E+02  -0.712324E+02   0.562386E+06   0.165931E+03
   684   0.179727E+04   0.385380E+02  -0.729757E+02   0.561136E+06   0.166723E+03
   685   0.179939E+04   0.385621E+02  -0.747111E+02   0.559890E+06   0.167507E+03
   686   0.180169E+04   0.385799E+02  -0.764375E+02   0.558649E+06   0.168284E+03
   687   0.180420E+04   0.385914E+02  -0.781549E+02   0.557412E+06   0.169053E+03
   688   0.180689E+04   0.385966E+02  -0.798626E+02   0.556180E+06   0.169814E+03
   689   0.180978E+04   0.385955E+02  -0.815592E+02   0.554952E+06   0.170566E+03
   690   0.181285E+04   0.385882E+02  -0.832440E+02   0.553728E+06   0.171311E+03
   691   0.181611E+04   0.385746E+02  -0.849168E+02   0.552509E+06   0.172047E+03
   692   0.181955E+04   0.385548E+02  -0.865770E+02   0.551294E+06   0.172774E+03
   693   0.182318E+04   0.385288E+02  -0.882239E+02   0.550083E+06   0.173493E+03
   694   0.182699E+04   0.384965E+02  -0.898559E+02   0.548877E+06   0.174203E+03
   695   0.183099E+04   0.384581E+02  -0.914730E+02   0.547674E+06   0.174903E+03
   696   0.183514E+04   0.384133E+02  -0.930738E+02   0.546476E+06   0.175595E+03
   697   0.183949E+04   0.383624E+02  -0.946582E+02   0.545283E+06   0.176277E+03
   698   0.184399E+04   0.383053E+02  -0.962248E+02   0.544093E+06   0.176950E+03
   699   0.184868E+04   0.382420E+02  -0.977736E+02   0.542907E+06   0.177614E+03
   700   0.185353E+04   0.381727E+02  -0.993038E+02   0.541726E+06   0.178267E+03
   701   0.185854E+04   0.380972E+02  -0.100815E+03   0.540549E+06   0.178911E+03
   702   0.186371E+04   0.380156E+02  -0.102306E+03   0.539376E+06   0.179545E+03
   703   0.186904E+04   0.379281E+02  -0.103776E+03   0.538207E+06   0.180169E+03
   704   0.187453E+04   0.378346E+02  -0.105225E+03   0.537042E+06   0.180782E+03
   705   0.188017E+04   0.377352E+02  -0.106652E+03   0.535881E+06   0.181386E+03
   706   0.188597E+04   0.376300E+02  -0.108056E+03   0.534724E+06   0.181980E+03
   707   0.189191E+04   0.375190E+02  -0.109437E+03   0.533571E+06   0.182564E+03
   708   0.189799E+04   0.374022E+02  -0.110794E+03   0.532422E+06   0.183137E+03
   709   0.190422E+04   0.372798E+02  -0.112127E+03   0.531277E+06   0.183700E+03
   710   0.191058E+04   0.371517E+02  -0.113435E+03   0.530135E+06   0.184253E+03
   711   0.191708E+04   0.370181E+02  -0.114718E+03   0.528998E+06   0.184796E+03
   712   0.192372E+04   0.368789E+02  -0.115974E+03   0.527865E+06   0.185329E+03
   713   0.193048E+04   0.367343E+02  -0.117204E+03   0.526736E+06   0.185851E+03
   714   0.193736E+04   0.365843E+02  -0.118405E+03   0.525610E+06   0.186363E+03
   715   0.194437E+04   0.364290E+02  -0.119580E+03   0.524488E+06   0.186864E+03
   716   0.195149E+04   0.362683E+02  -0.120726E+03   0.523371E+06   0.187355E+03
   717   0.195873E+04   0.361024E+02  -0.121842E+03   0.522257E+06   0.187835E+03
   718   0.196607E+04   0.359312E+02  -0.122929E+03   0.521146E+06   0.188305E+03
   719   0.197352E+04   0.357550E+02  -0.123985E+03   0.520040E+06   0.188764E+03
   720   0.198108E+04   0.355738E+02  -0.125012E+03   0.518937E+06   0.189213E+03
   721   0.198872E+04   0.353877E+02  -0.126007E+03   0.517838E+06   0.189651E+03
   722   0.199647E+04   0.351968E+02  -0.126972E+03   0.516743E+06   0.190078E+03
   723   0.200431E+04   0.350012E+02  -0.127905E+03   0.515651E+06   0.190494E+03
   724   0.201225E+04   0.348012E+02  -0.128806E+03   0.514564E+06   0.190900E+03
   725   0.202027E+04   0.345967E+02  -0.129674E+03   0.513480E+06   0.191295E+03
   726   0.202837E+04   0.343878E+02  -0.130510E+03   0.512399E+06   0.191679E+03
   727   0.203656E+04   0.341747E+02  -0.131313E+03   0.511322E+06   0.192052E+03
   728   0.204482E+04   0.339573E+02  -0.132084E+03   0.510249E+06   0.192415E+03
   729   0.205315E+04   0.337359E+02  -0.132819E+03   0.509179E+06   0.192766E+03
   730   0.206155E+04   0.335105E+02  -0.133521E+03   0.508113E+06   0.193106E+03
   731   0.207002E+04   0.332812E+02  -0.134189E+03   0.507051E+06   0.193435E+03
   732   0.207854E+04   0.330480E+02  -0.134821E+03   0.505992E+06   0.193753E+03
   733   0.208712E+04   0.328112E+02  -0.135418E+03   0.504936E+06   0.194060E+03
   734   0.209575E+04   0.325706E+02  -0.135979E+03   0.503884E+06   0.194356E+03
   735   0.210442E+04   0.323267E+02  -0.136505E+03   0.502836E+06   0.194640E+03
   736   0.211314E+04   0.320794E+02  -0.136995E+03   0.501791E+06   0.194914E+03
   737   0.212189E+04   0.318288E+02  -0.137448E+03   0.500749E+06   0.195176E+03
   738   0.213068E+04   0.315750E+02  -0.137865E+03   0.499711E+06   0.195426E+03
   739   0.213950E+04   0.313182E+02  -0.138244E+03   0.498676E+06   0.195666E+03
   740   0.214834E+04   0.310585E+02  -0.138586E+03   0.497645E+06   0.195894E+03
   741   0.215720E+04   0.307960E+02  -0.138892E+03   0.496617E+06   0.196110E+03
   742   0.216607E+04   0.305309E+02  -0.139160E+03   0.495593E+06   0.196315E+03
   743   0.217495E+04   0.302633E+02  -0.139390E+03   0.494571E+06   0.196509E+03
   744   0.218384E+04   0.299932E+02  -0.139583E+03   0.493554E+06   0.196690E+03
   745   0.219272E+04   0.297210E+02  -0.139737E+03   0.492539E+06   0.196861E+03
   746   0.220160E+04   0.294466E+02  -0.139855E+03   0.491528E+06   0.197019E+03
   747   0.221048E+04   0.291702E+02  -0.139934E+03   0.490520E+06   0.197166E+03
   748   0.221933E+04   0.288918E+02  -0.139975E+03   0.489515E+06   0.197302E+03
   749   0.222817E+04   0.286117E+02  -0.139978E+03   0.488513E+06   0.197425E+03
   750   0.223699E+04   0.283299E+02  -0.139943E+03   0.487515E+06   0.197537E+03
   751   0.224579E+04   0.280466E+02  -0.139870E+03   0.486520E+06   0.197637E+03
   752   0.225454E+04   0.277619E+02  -0.139758E+03   0.485528E+06   0.197725E+03
   753   0.226326E+04   0.274758E+02  -0.139608E+03   0.484539E+06   0.197801E+03
   754   0.227195E+04   0.271886E+02  -0.139421E+03   0.483553E+06   0.197866E+03
   755   0.228059E+04   0.269004E+02  -0.139195E+03   0.482571E+06   0.197919E+03
   756   0.228919E+04   0.266112E+02  -0.138931E+03   0.481592E+06   0.197960E+03
   757   0.229774E+04   0.263215E+02  -0.138630E+03   0.480615E+06   0.197990E+03
   758   0.230624E+04   0.260310E+02  -0.138292E+03   0.479642E+06   0.198008E+03
   759   0.231469E+04   0.257402E+02  -0.137917E+03   0.478672E+06   0.198016E+03
   760   0.232308E+04   0.254491E+02  -0.137504E+03   0.477705E+06   0.198011E+03
   761   0.233141E+04   0.251578E+02  -0.137054E+03   0.476741E+06   0.197996E+03
   762   0.233968E+04   0.248665E+02  -0.136567E+03   0.475780E+06   0.197969E+03
   763   0.234788E+04   0.245752E+02  -0.136043E+03   0.474823E+06   0.197931E+03
   764   0.235599E+04   0.242841E+02  -0.135482E+03   0.473868E+06   0.197882E+03
   765   0.236403E+04   0.239934E+02  -0.134884E+03   0.472916E+06   0.197822E+03
   766   0.237198E+04   0.237031E+02  -0.134249E+03   0.471967E+06   0.197750E+03
   767   0.237984E+04   0.234132E+02  -0.133577E+03   0.471021E+06   0.197668E+03
   768   0.238761E+04   0.231241E+02  -0.132868E+03   0.470079E+06   0.197575E+03
   769   0.239526E+04   0.228359E+02  -0.132123E+03   0.469139E+06   0.197471E+03
   770   0.240282E+04   0.225486E+02  -0.131342E+03   0.468202E+06   0.197356E+03
   771   0.241027E+04   0.222625E+02  -0.130526E+03   0.467268E+06   0.197231E+03
   772   0.241760E+04   0.219777E+02  -0.129674E+03   0.466337E+06   0.197094E+03
   773   0.242482E+04   0.216943E+02  -0.128788E+03   0.465408E+06   0.196947E+03
   774   0.243191E+04   0.214125E+02  -0.127868E+03   0.464483E+06   0.196790E+03
   775   0.243888E+04   0.211324E+02  -0.126914E+03   0.463560E+06   0.196622E+03
   776   0.244572E+04   0.208541E+02  -0.125927E+03   0.462641E+06   0.196443E+03
   777   0.245244E+04   0.205778E+02  -0.124906E+03   0.461724E+06   0.196254E+03
   778   0.245904E+04   0.203035E+02  -0.123854E+03   0.460810E+06   0.196055E+03
   779   0.246550E+04   0.200314E+02  -0.122769E+03   0.459899E+06   0.195845E+03
   780   0.247184E+04   0.197617E+02  -0.121653E+03   0.458991E+06   0.195626E+03
   781   0.247804E+04   0.194944E+02  -0.120507E+03   0.458085E+06   0.195395E+03
   782   0.248411E+04   0.192296E+02  -0.119329E+03   0.457182E+06   0.195155E+03
   783   0.249004E+04   0.189674E+02  -0.118121E+03   0.456283E+06   0.194905E+03
   784   0.249583E+04   0.187080E+02  -0.116883E+03   0.455385E+06   0.194644E+03
   785   0.250146E+04   0.184515E+02  -0.115614E+03   0.454491E+06   0.194374E+03
   786   0.250693E+04   0.181979E+02  -0.114315E+03   0.453599E+06   0.194094E+03
   787   0.251225E+04   0.179473E+02  -0.112987E+03   0.452710E+06   0.193803E+03
   788   0.251740E+04   0.177000E+02  -0.111629E+03   0.451824E+06   0.193503E+03
   789   0.252237E+04   0.174560E+02  -0.110242E+03   0.450940E+06   0.193193E+03
   790   0.252718E+04   0.172154E+02  -0.108826E+03   0.450059E+06   0.192874E+03
   791   0.253181E+04   0.169784E+02  -0.107385E+03   0.449181E+06   0.192545E+03
   792   0.253627E+04   0.167452E+02  -0.105916E+03   0.448305E+06   0.192206E+03
   793   0.254055E+04   0.165160E+02  -0.104422E+03   0.447432E+06   0.191857E+03
   794   0.254466E+04   0.162908E+02  -0.102904E+03   0.446561E+06   0.191499E+03
   795   0.254857E+04   0.160698E+02  -0.101363E+03   0.445693E+06   0.191132E+03
   796   0.255231E+04   0.158530E+02  -0.997976E+02   0.444828E+06   0.190755E+03
   797   0.255587E+04   0.156406E+02  -0.982103E+02   0.443965E+06   0.190369E+03
   798   0.255925E+04   0.154325E+02  -0.966006E+02   0.443105E+06   0.189974E+03
   799   0.256244E+04   0.152289E+02  -0.949694E+02   0.442248E+06   0.189569E+03
   800   0.256545E+04   0.150298E+02  -0.933158E+02   0.441393E+06   0.189155E+03
   801   0.256828E+04   0.148353E+02  -0.916422E+02   0.440540E+06   0.188732E+03
   802   0.257092E+04   0.146453E+02  -0.899478E+02   0.439690E+06   0.188300E+03
   803   0.257337E+04   0.144601E+02  -0.882333E+02   0.438843E+06   0.187859E+03
   804   0.257564E+04   0.142797E+02  -0.865003E+02   0.437998E+06   0.187410E+03
   805   0.257770E+04   0.141043E+02  -0.847479E+02   0.437155E+06   0.186952E+03
   806   0.257956E+04   0.139340E+02  -0.829784E+02   0.436315E+06   0.186485E+03
   807   0.258121E+04   0.137688E+02  -0.811903E+02   0.435477E+06   0.186009E+03
   808   0.258265E+04   0.136090E+02  -0.793866E+02   0.434642E+06   0.185525E+03
   809   0.258387E+04   0.134547E+02  -0.775666E+02   0.433809E+06   0.185034E+03
   810   0.258488E+04   0.133058E+02  -0.757310E+02   0.432979E+06   0.184533E+03
   811   0.258567E+04   0.131625E+02  -0.738814E+02   0.432151E+06   0.184025E+03
   812   0.258627E+04   0.130247E+02  -0.720184E+02   0.431326E+06   0.183509E+03
   813   0.258665E+04   0.128926E+02  -0.701432E+02   0.430503E+06   0.182985E+03
   814   0.258684E+04   0.127661E+02  -0.682565E+02   0.429682E+06   0.182454E+03
   815   0.258683E+04   0.126452E+02  -0.663592E+02   0.428864E+06   0.181915E+03
   816   0.258662E+04   0.125302E+02  -0.644522E+02   0.428048E+06   0.181368E+03
   817   0.258622E+04   0.124209E+02  -0.625362E+02   0.427234E+06   0.180814E+03
   818   0.258561E+04   0.123175E+02  -0.606112E+02   0.426423E+06   0.180253E+03
   819   0.258480E+04   0.122200E+02  -0.586777E+02   0.425614E+06   0.179684E+03
   820   0.258377E+04   0.121285E+02  -0.567362E+02   0.424808E+06   0.179109E+03
   821   0.258252E+04   0.120431E+02  -0.547870E+02   0.424004E+06   0.178527E+03
   822   0.258105E+04   0.119639E+02  -0.528305E+02   0.423202E+06   0.177938E+03
   823   0.257935E+04   0.118908E+02  -0.508671E+02   0.422402E+06   0.177342E+03
   824   0.257742E+04   0.118239E+02  -0.488979E+02   0.421605E+06   0.176739E+03
   825   0.257528E+04   0.117633E+02  -0.469241E+02   0.420810E+06   0.176130E+03
   826   0.257292E+04   0.117090E+02  -0.449469E+02   0.420017E+06   0.175515E+03
   827   0.257035E+04   0.116609E+02  -0.429675E+02   0.419227E+06   0.174893E+03
   828   0.256758E+04   0.116192E+02  -0.409868E+02   0.418438E+06   0.174266E+03
   829   0.256461E+04   0.115838E+02  -0.390063E+02   0.417652E+06   0.173632E+03
   830   0.256145E+04   0.115547E+02  -0.370268E+02   0.416869E+06   0.172992E+03
   831   0.255810E+04   0.115320E+02  -0.350488E+02   0.416087E+06   0.172347E+03
   832   0.255454E+04   0.115156E+02  -0.330728E+02   0.415308E+06   0.171695E+03
   833   0.255078E+04   0.115058E+02  -0.310991E+02   0.414531E+06   0.171038E+03
   834   0.254682E+04   0.115023E+02  -0.291279E+02   0.413756E+06   0.170376E+03
   835   0.254264E+04   0.115054E+02  -0.271598E+02   0.412983E+06   0.169708E+03
   836   0.253824E+04   0.115150E+02  -0.251949E+02   0.412213E+06   0.169035E+03
   837   0.253362E+04   0.115311E+02  -0.232339E+02   0.411444E+06   0.168357E+03
   838   0.252880E+04   0.115538E+02  -0.212775E+02   0.410678E+06   0.167674E+03
   839   0.252375E+04   0.115829E+02  -0.193268E+02   0.409914E+06   0.166986E+03
   840   0.251851E+04   0.116185E+02  -0.173828E+02   0.409152E+06   0.166293E+03
   841   0.251307E+04   0.116604E+02  -0.154464E+02   0.408392E+06   0.165595E+03
   842   0.250744E+04   0.117088E+02  -0.135187E+02   0.407635E+06   0.164892E+03
   843   0.250161E+04   0.117635E+02  -0.116006E+02   0.406879E+06   0.164185E+03
   844   0.249561E+04   0.118244E+02  -0.969315E+01   0.406126E+06   0.163474E+03
   845   0.248942E+04   0.118916E+02  -0.779683E+01   0.405374E+06   0.162759E+03
   846   0.248305E+04   0.119652E+02  -0.591237E+01   0.404625E+06   0.162039E+03
   847   0.247649E+04   0.120451E+02  -0.404024E+01   0.403878E+06   0.161315E+03
   848   0.246974E+04   0.121313E+02  -0.218105E+01   0.403132E+06   0.160587E+03
   849   0.246280E+04   0.122240E+02  -0.335362E+00   0.402389E+06   0.159856E+03
   850   0.245566E+04   0.123230E+02   0.149626E+01   0.401648E+06   0.159120E+03
   851   0.244834E+04   0.124285E+02   0.331325E+01   0.400909E+06   0.158381E+03
   852   0.244082E+04   0.125402E+02   0.511509E+01   0.400172E+06   0.157639E+03
   853   0.243311E+04   0.126582E+02   0.690128E+01   0.399437E+06   0.156893E+03
   854   0.242522E+04   0.127822E+02   0.867129E+01   0.398704E+06   0.156143E+03
   855   0.241717E+04   0.129123E+02   0.104246E+02   0.397973E+06   0.155390E+03
   856   0.240894E+04   0.130483E+02   0.121608E+02   0.397244E+06   0.154633E+03
   857   0.240055E+04   0.131900E+02   0.138793E+02   0.396517E+06   0.153874E+03
   858   0.239201E+04   0.133376E+02   0.155795E+02   0.395792E+06   0.153110E+03
   859   0.238331E+04   0.134908E+02   0.172606E+02   0.395068E+06   0.152344E+03
   860   0.237446E+04   0.136496E+02   0.189218E+02   0.394347E+06   0.151574E+03
   861   0.236545E+04   0.138142E+02   0.205622E+02   0.393628E+06   0.150801E+03
   862   0.235629E+04   0.139843E+02   0.221809E+02   0.392911E+06   0.150025E+03
   863   0.234699E+04   0.141601E+02   0.237772E+02   0.392195E+06   0.149246E+03
   864   0.233754E+04   0.143415E+02   0.253499E+02   0.391482E+06   0.148464E+03
   865   0.232795E+04   0.145285E+02   0.268985E+02   0.390771E+06   0.147678E+03
   866   0.231822E+04   0.147210E+02   0.284225E+02   0.390061E+06   0.146890E+03
   867   0.230834E+04   0.149189E+02   0.299221E+02   0.389353E+06   0.146098E+03
   868   0.229832E+04   0.151221E+02   0.313968E+02   0.388648E+06   0.145304E+03
   869   0.228816E+04   0.153304E+02   0.328465E+02   0.387944E+06   0.144507E+03
   870   0.227787E+04   0.155440E+02   0.342711E+02   0.387242E+06   0.143707E+03
   871   0.226744E+04   0.157625E+02   0.356704E+02   0.386542E+06   0.142904E+03
   872   0.225688E+04   0.159860E+02   0.370443E+02   0.385844E+06   0.142099E+03
   873   0.224619E+04   0.162142E+02   0.383921E+02   0.385147E+06   0.141291E+03
   874   0.223539E+04   0.164472E+02   0.397133E+02   0.384453E+06   0.140480E+03
   875   0.222446E+04   0.166847E+02   0.410074E+02   0.383760E+06   0.139666E+03
   876   0.221342E+04   0.169267E+02   0.422738E+02   0.383070E+06   0.138850E+03
   877   0.220227E+04   0.171731E+02   0.435118E+02   0.382381E+06   0.138032E+03
   878   0.219103E+04   0.174236E+02   0.447211E+02   0.381694E+06   0.137211E+03
   879   0.217969E+04   0.176784E+02   0.459009E+02   0.381008E+06   0.136387E+03
   880   0.216826E+04   0.179371E+02   0.470509E+02   0.380325E+06   0.135561E+03
   881   0.215673E+04   0.181998E+02   0.481705E+02   0.379643E+06   0.134733E+03
   882   0.214512E+04   0.184664E+02   0.492593E+02   0.378964E+06   0.133902E+03
   883   0.213342E+04   0.187367E+02   0.503166E+02   0.378286E+06   0.133069E+03
   884   0.212164E+04   0.190108E+02   0.513421E+02   0.377609E+06   0.132234E+03
   885   0.210977E+04   0.192886E+02   0.523353E+02   0.376935E+06   0.131397E+03
   886   0.209781E+04   0.195698E+02   0.532956E+02   0.376262E+06   0.130557E+03
   887   0.208578E+04   0.198546E+02   0.542231E+02   0.375592E+06   0.129715E+03
   888   0.207368E+04   0.201426E+02   0.551176E+02   0.374922E+06   0.128872E+03
   889   0.206150E+04   0.204338E+02   0.559791E+02   0.374255E+06   0.128026E+03
   890   0.204926E+04   0.207282E+02   0.568075E+02   0.373589E+06   0.127178E+03
   891   0.203695E+04   0.210255E+02   0.576029E+02   0.372926E+06   0.126328E+03
   892   0.202458E+04   0.213256E+02   0.583650E+02   0.372263E+06   0.125477E+03
   893   0.201215E+04   0.216284E+02   0.590939E+02   0.371603E+06   0.124623E+03
   894   0.199968E+04   0.219338E+02   0.597895E+02   0.370944E+06   0.123768E+03
   895   0.198715E+04   0.222416E+02   0.604514E+02   0.370287E+06   0.122911E+03
   896   0.197458E+04   0.225517E+02   0.610798E+02   0.369632E+06   0.122052E+03
   897   0.196197E+04   0.228639E+02   0.616744E+02   0.368979E+06   0.121191E+03
   898   0.194931E+04   0.231781E+02   0.622350E+02   0.368327E+06   0.120329E+03
   899   0.193663E+04   0.234941E+02   0.627616E+02   0.367676E+06   0.119465E+03
   900   0.192392E+04   0.238119E+02   0.632539E+02   0.367028E+06   0.118600E+03
   901   0.191118E+04   0.241312E+02   0.637119E+02   0.366381E+06   0.117733E+03
   902   0.189843E+04   0.244520E+02   0.641355E+02   0.365736E+06   0.116864E+03
   903   0.188566E+04   0.247741E+02   0.645245E+02   0.365092E+06   0.115995E+03
   904   0.187287E+04   0.250974E+02   0.648788E+02   0.364451E+06   0.115123E+03
   905   0.186008E+04   0.254217E+02   0.651984E+02   0.363810E+06   0.114251E+03
   906   0.184728E+04   0.257471E+02   0.654831E+02   0.363172E+06   0.113378E+03
   907   0.183448E+04   0.260732E+02   0.657327E+02   0.362535E+06   0.112504E+03
   908   0.182169E+04   0.264000E+02   0.659475E+02   0.361899E+06   0.111628E+03
   909   0.180890E+04   0.267275E+02   0.661273E+02   0.361266E+06   0.110752E+03
   910   0.179612E+04   0.270554E+02   0.662722E+02   0.360634E+06   0.109875E+03
   911   0.178336E+04   0.273836E+02   0.663824E+02   0.360003E+06   0.108998E+03
   912   0.177062E+04   0.277120E+02   0.664579E+02   0.359375E+06   0.108120E+03
   913   0.175790E+04   0.280406E+02   0.664988E+02   0.358747E+06   0.107241E+03
   914   0.174520E+04   0.283690E+02   0.665050E+02   0.358122E+06   0.106362E+03
   915   0.173253E+04   0.286974E+02   0.664768E+02   0.357498E+06   0.105483E+03
   916   0.171989E+04   0.290255E+02   0.664143E+02   0.356875E+06   0.104604E+03
   917   0.170728E+04   0.293531E+02   0.663174E+02   0.356254E+06   0.103724E+03
   918   0.169470E+04   0.296802E+02   0.661865E+02   0.355635E+06   0.102845E+03
   919   0.168217E+04   0.300065E+02   0.660216E+02   0.355018E+06   0.101965E+03
   920   0.166968E+04   0.303320E+02   0.658228E+02   0.354401E+06   0.101086E+03
   921   0.165722E+04   0.306565E+02   0.655903E+02   0.353787E+06   0.100206E+03
   922   0.164482E+04   0.309798E+02   0.653244E+02   0.353174E+06   0.993276E+02
   923   0.163248E+04   0.313020E+02   0.650254E+02   0.352562E+06   0.984491E+02
   924   0.162019E+04   0.316228E+02   0.646937E+02   0.351953E+06   0.975711E+02
   925   0.160796E+04   0.319421E+02   0.643295E+02   0.351344E+06   0.966937E+02
   926   0.159579E+04   0.322598E+02   0.639332E+02   0.350738E+06   0.958169E+02
   927   0.158368E+04   0.325757E+02   0.635052E+02   0.350132E+06   0.949409E+02
   928   0.157165E+04   0.328899E+02   0.630457E+02   0.349529E+06   0.940658E+02
   929   0.155970E+04   0.332020E+02   0.625551E+02   0.348926E+06   0.931915E+02
   930   0.154782E+04   0.335119E+02   0.620337E+02   0.348326E+06   0.923183E+02
   931   0.153601E+04   0.338197E+02   0.614816E+02   0.347727E+06   0.914462E+02
   932   0.152430E+04   0.341250E+02   0.608991E+02   0.347129E+06   0.905753E+02
   933   0.151266E+04   0.344279E+02   0.602867E+02   0.346533E+06   0.897056E+02
   934   0.150112E+04   0.347281E+02   0.596443E+02   0.345938E+06   0.888373E+02
   935   0.148966E+04   0.350255E+02   0.589725E+02   0.345345E+06   0.879705E+02
