#    L    TT             EE             BB             TE             PP             TP             EP          
    45   0.132147E+04   0.840773E-01   0.000000E+00   0.130865E+01   0.136256E-06   0.862211E-03  -0.379682E-06
    46   0.134081E+04   0.903538E-01   0.000000E+00   0.118519E+01   0.135832E-06   0.844431E-03  -0.394835E-06
    47   0.136032E+04   0.969297E-01   0.000000E+00   0.104938E+01   0.135385E-06   0.827205E-03  -0.373648E-06
    48   0.137999E+04   0.103797E+00   0.000000E+00   0.900615E+00   0.134917E-06   0.810506E-03  -0.344284E-06
    49   0.139981E+04   0.110945E+00   0.000000E+00   0.738349E+00   0.134429E-06   0.794306E-03  -0.334830E-06
    50   0.141982E+04   0.118378E+00   0.000000E+00   0.562182E+00   0.133924E-06   0.778580E-03  -0.373304E-06
    51   0.144009E+04   0.126099E+00   0.000000E+00   0.372024E+00   0.133402E-06   0.763309E-03  -0.477242E-06
    52   0.146056E+04   0.134112E+00   0.000000E+00   0.168827E+00   0.132865E-06   0.748506E-03  -0.622482E-06
    53   0.148116E+04   0.142418E+00   0.000000E+00  -0.464082E-01   0.132313E-06   0.734189E-03  -0.774513E-06
    54   0.150188E+04   0.151021E+00   0.000000E+00  -0.273539E+00   0.131748E-06   0.720380E-03  -0.898897E-06
    55   0.152270E+04   0.159924E+00   0.000000E+00  -0.512794E+00   0.131171E-06   0.707098E-03  -0.961267E-06
    56   0.154375E+04   0.169124E+00   0.000000E+00  -0.765042E+00   0.130583E-06   0.694351E-03  -0.937867E-06
    57   0.156511E+04   0.178618E+00   0.000000E+00  -0.103116E+01   0.129983E-06   0.682095E-03  -0.847157E-06
    58   0.158676E+04   0.188404E+00   0.000000E+00  -0.131136E+01   0.129374E-06   0.670273E-03  -0.718096E-06
    59   0.160859E+04   0.198483E+00   0.000000E+00  -0.160555E+01   0.128755E-06   0.658829E-03  -0.579587E-06
    60   0.163059E+04   0.208845E+00   0.000000E+00  -0.191324E+01   0.128126E-06   0.647706E-03  -0.460483E-06
    61   0.165278E+04   0.219485E+00   0.000000E+00  -0.223394E+01   0.127490E-06   0.636853E-03  -0.384379E-06
    62   0.167514E+04   0.230398E+00   0.000000E+00  -0.256767E+01   0.126846E-06   0.626241E-03  -0.353995E-06
    63   0.169771E+04   0.241583E+00   0.000000E+00  -0.291456E+01   0.126195E-06   0.615845E-03  -0.366846E-06
    64   0.172049E+04   0.253037E+00   0.000000E+00  -0.327475E+01   0.125539E-06   0.605641E-03  -0.420453E-06
    65   0.174349E+04   0.264759E+00   0.000000E+00  -0.364841E+01   0.124878E-06   0.595604E-03  -0.512343E-06
    66   0.176677E+04   0.276742E+00   0.000000E+00  -0.403578E+01   0.124214E-06   0.585722E-03  -0.637241E-06
    67   0.179030E+04   0.288980E+00   0.000000E+00  -0.443630E+01   0.123547E-06   0.576027E-03  -0.778648E-06
    68   0.181404E+04   0.301463E+00   0.000000E+00  -0.484927E+01   0.122877E-06   0.566564E-03  -0.917281E-06
    69   0.183795E+04   0.314183E+00   0.000000E+00  -0.527399E+01   0.122205E-06   0.557377E-03  -0.103388E-05
    70   0.186200E+04   0.327134E+00   0.000000E+00  -0.570996E+01   0.121532E-06   0.548509E-03  -0.110922E-05
    71   0.188616E+04   0.340312E+00   0.000000E+00  -0.615700E+01   0.120857E-06   0.539993E-03  -0.112947E-05
    72   0.191055E+04   0.353712E+00   0.000000E+00  -0.661602E+01   0.120181E-06   0.531807E-03  -0.110242E-05
    73   0.193529E+04   0.367330E+00   0.000000E+00  -0.708798E+01   0.119503E-06   0.523917E-03  -0.104124E-05
    74   0.196038E+04   0.381153E+00   0.000000E+00  -0.757278E+01   0.118825E-06   0.516291E-03  -0.959077E-06
    75   0.198583E+04   0.395171E+00   0.000000E+00  -0.806999E+01   0.118145E-06   0.508893E-03  -0.869061E-06
    76   0.201158E+04   0.409369E+00   0.000000E+00  -0.857906E+01   0.117464E-06   0.501694E-03  -0.783028E-06
    77   0.203753E+04   0.423736E+00   0.000000E+00  -0.909854E+01   0.116783E-06   0.494666E-03  -0.707665E-06
    78   0.206364E+04   0.438261E+00   0.000000E+00  -0.962798E+01   0.116101E-06   0.487786E-03  -0.648368E-06
    79   0.208996E+04   0.452931E+00   0.000000E+00  -0.101672E+02   0.115419E-06   0.481030E-03  -0.610527E-06
    80   0.211652E+04   0.467736E+00   0.000000E+00  -0.107162E+02   0.114738E-06   0.474375E-03  -0.599530E-06
    81   0.214333E+04   0.482664E+00   0.000000E+00  -0.112748E+02   0.114058E-06   0.467802E-03  -0.618586E-06
    82   0.217041E+04   0.497705E+00   0.000000E+00  -0.118425E+02   0.113379E-06   0.461318E-03  -0.662221E-06
    83   0.219774E+04   0.512847E+00   0.000000E+00  -0.124190E+02   0.112701E-06   0.454938E-03  -0.722791E-06
    84   0.222532E+04   0.528081E+00   0.000000E+00  -0.130039E+02   0.112025E-06   0.448674E-03  -0.792661E-06
    85   0.225313E+04   0.543394E+00   0.000000E+00  -0.135969E+02   0.111351E-06   0.442540E-03  -0.864206E-06
    86   0.228118E+04   0.558778E+00   0.000000E+00  -0.141974E+02   0.110679E-06   0.436547E-03  -0.930976E-06
    87   0.230943E+04   0.574218E+00   0.000000E+00  -0.148050E+02   0.110010E-06   0.430694E-03  -0.991221E-06
    88   0.233787E+04   0.589702E+00   0.000000E+00  -0.154191E+02   0.109343E-06   0.424980E-03  -0.104437E-05
    89   0.236650E+04   0.605216E+00   0.000000E+00  -0.160392E+02   0.108679E-06   0.419404E-03  -0.108984E-05
    90   0.239533E+04   0.620745E+00   0.000000E+00  -0.166652E+02   0.108018E-06   0.413962E-03  -0.112705E-05
    91   0.242437E+04   0.636274E+00   0.000000E+00  -0.172964E+02   0.107359E-06   0.408654E-03  -0.115566E-05
    92   0.245361E+04   0.651788E+00   0.000000E+00  -0.179328E+02   0.106704E-06   0.403474E-03  -0.117611E-05
    93   0.248307E+04   0.667273E+00   0.000000E+00  -0.185736E+02   0.106051E-06   0.398419E-03  -0.118908E-05
    94   0.251275E+04   0.682716E+00   0.000000E+00  -0.192189E+02   0.105402E-06   0.393483E-03  -0.119526E-05
    95   0.254266E+04   0.698102E+00   0.000000E+00  -0.198679E+02   0.104756E-06   0.388664E-03  -0.119530E-05
    96   0.257279E+04   0.713417E+00   0.000000E+00  -0.205203E+02   0.104113E-06   0.383955E-03  -0.118989E-05
    97   0.260315E+04   0.728647E+00   0.000000E+00  -0.211757E+02   0.103474E-06   0.379353E-03  -0.117970E-05
    98   0.263374E+04   0.743775E+00   0.000000E+00  -0.218336E+02   0.102837E-06   0.374853E-03  -0.116539E-05
    99   0.266453E+04   0.758789E+00   0.000000E+00  -0.224935E+02   0.102204E-06   0.370452E-03  -0.114765E-05
   100   0.269556E+04   0.773676E+00   0.000000E+00  -0.231550E+02   0.101575E-06   0.366144E-03  -0.112713E-05
   101   0.272680E+04   0.788422E+00   0.000000E+00  -0.238174E+02   0.100949E-06   0.361925E-03  -0.110452E-05
   102   0.275825E+04   0.803005E+00   0.000000E+00  -0.244804E+02   0.100326E-06   0.357792E-03  -0.108048E-05
   103   0.278991E+04   0.817425E+00   0.000000E+00  -0.251434E+02   0.997074E-07   0.353739E-03  -0.105567E-05
   104   0.282178E+04   0.831652E+00   0.000000E+00  -0.258059E+02   0.990921E-07   0.349762E-03  -0.103078E-05
   105   0.285384E+04   0.845679E+00   0.000000E+00  -0.264674E+02   0.984806E-07   0.345857E-03  -0.100646E-05
   106   0.288609E+04   0.859492E+00   0.000000E+00  -0.271271E+02   0.978729E-07   0.342020E-03  -0.983394E-06
   107   0.291852E+04   0.873083E+00   0.000000E+00  -0.277846E+02   0.972690E-07   0.338246E-03  -0.962239E-06
   108   0.295112E+04   0.886430E+00   0.000000E+00  -0.284395E+02   0.966691E-07   0.334531E-03  -0.943667E-06
   109   0.298389E+04   0.899527E+00   0.000000E+00  -0.290909E+02   0.960731E-07   0.330871E-03  -0.928344E-06
   110   0.301683E+04   0.912350E+00   0.000000E+00  -0.297384E+02   0.954811E-07   0.327261E-03  -0.916938E-06
   111   0.304992E+04   0.924893E+00   0.000000E+00  -0.303816E+02   0.948933E-07   0.323698E-03  -0.909946E-06
   112   0.308316E+04   0.937149E+00   0.000000E+00  -0.310197E+02   0.943095E-07   0.320181E-03  -0.907192E-06
   113   0.311655E+04   0.949094E+00   0.000000E+00  -0.316523E+02   0.937298E-07   0.316711E-03  -0.908328E-06
   114   0.315008E+04   0.960713E+00   0.000000E+00  -0.322788E+02   0.931542E-07   0.313287E-03  -0.913007E-06
   115   0.318373E+04   0.972007E+00   0.000000E+00  -0.328985E+02   0.925827E-07   0.309910E-03  -0.920884E-06
   116   0.321751E+04   0.982960E+00   0.000000E+00  -0.335110E+02   0.920153E-07   0.306580E-03  -0.931612E-06
   117   0.325142E+04   0.993550E+00   0.000000E+00  -0.341157E+02   0.914519E-07   0.303297E-03  -0.944845E-06
   118   0.328542E+04   0.100378E+01   0.000000E+00  -0.347119E+02   0.908926E-07   0.300061E-03  -0.960239E-06
   119   0.331954E+04   0.101362E+01   0.000000E+00  -0.352992E+02   0.903375E-07   0.296873E-03  -0.977446E-06
   120   0.335374E+04   0.102309E+01   0.000000E+00  -0.358770E+02   0.897863E-07   0.293733E-03  -0.996122E-06
   121   0.338804E+04   0.103215E+01   0.000000E+00  -0.364447E+02   0.892392E-07   0.290640E-03  -0.101592E-05
   122   0.342240E+04   0.104080E+01   0.000000E+00  -0.370018E+02   0.886963E-07   0.287595E-03  -0.103650E-05
   123   0.345684E+04   0.104904E+01   0.000000E+00  -0.375477E+02   0.881573E-07   0.284599E-03  -0.105751E-05
   124   0.349134E+04   0.105684E+01   0.000000E+00  -0.380819E+02   0.876225E-07   0.281651E-03  -0.107861E-05
   125   0.352589E+04   0.106421E+01   0.000000E+00  -0.386038E+02   0.870917E-07   0.278751E-03  -0.109945E-05
   126   0.356049E+04   0.107114E+01   0.000000E+00  -0.391129E+02   0.865650E-07   0.275901E-03  -0.111970E-05
   127   0.359512E+04   0.107762E+01   0.000000E+00  -0.396086E+02   0.860423E-07   0.273099E-03  -0.113900E-05
   128   0.362977E+04   0.108363E+01   0.000000E+00  -0.400906E+02   0.855238E-07   0.270346E-03  -0.115700E-05
   129   0.366445E+04   0.108919E+01   0.000000E+00  -0.405581E+02   0.850093E-07   0.267643E-03  -0.117338E-05
   130   0.369913E+04   0.109426E+01   0.000000E+00  -0.410107E+02   0.844989E-07   0.264990E-03  -0.118778E-05
   131   0.373381E+04   0.109886E+01   0.000000E+00  -0.414478E+02   0.839925E-07   0.262385E-03  -0.119993E-05
   132   0.376848E+04   0.110299E+01   0.000000E+00  -0.418690E+02   0.834902E-07   0.259829E-03  -0.120986E-05
   133   0.380314E+04   0.110662E+01   0.000000E+00  -0.422738E+02   0.829919E-07   0.257320E-03  -0.121767E-05
   134   0.383777E+04   0.110977E+01   0.000000E+00  -0.426617E+02   0.824976E-07   0.254856E-03  -0.122345E-05
   135   0.387237E+04   0.111242E+01   0.000000E+00  -0.430323E+02   0.820073E-07   0.252436E-03  -0.122731E-05
   136   0.390693E+04   0.111459E+01   0.000000E+00  -0.433850E+02   0.815209E-07   0.250058E-03  -0.122934E-05
   137   0.394145E+04   0.111625E+01   0.000000E+00  -0.437194E+02   0.810384E-07   0.247720E-03  -0.122965E-05
   138   0.397591E+04   0.111742E+01   0.000000E+00  -0.440351E+02   0.805597E-07   0.245422E-03  -0.122833E-05
   139   0.401030E+04   0.111810E+01   0.000000E+00  -0.443316E+02   0.800849E-07   0.243162E-03  -0.122548E-05
   140   0.404463E+04   0.111827E+01   0.000000E+00  -0.446086E+02   0.796140E-07   0.240937E-03  -0.122120E-05
   141   0.407888E+04   0.111797E+01   0.000000E+00  -0.448657E+02   0.791468E-07   0.238747E-03  -0.121559E-05
   142   0.411304E+04   0.111716E+01   0.000000E+00  -0.451023E+02   0.786834E-07   0.236591E-03  -0.120875E-05
   143   0.414711E+04   0.111586E+01   0.000000E+00  -0.453182E+02   0.782237E-07   0.234466E-03  -0.120078E-05
   144   0.418107E+04   0.111409E+01   0.000000E+00  -0.455129E+02   0.777677E-07   0.232371E-03  -0.119177E-05
   145   0.421492E+04   0.111182E+01   0.000000E+00  -0.456860E+02   0.773154E-07   0.230305E-03  -0.118183E-05
   146   0.424864E+04   0.110907E+01   0.000000E+00  -0.458372E+02   0.768668E-07   0.228266E-03  -0.117105E-05
   147   0.428221E+04   0.110586E+01   0.000000E+00  -0.459659E+02   0.764218E-07   0.226253E-03  -0.115954E-05
   148   0.431562E+04   0.110218E+01   0.000000E+00  -0.460719E+02   0.759804E-07   0.224264E-03  -0.114738E-05
   149   0.434886E+04   0.109804E+01   0.000000E+00  -0.461547E+02   0.755426E-07   0.222298E-03  -0.113469E-05
   150   0.438191E+04   0.109345E+01   0.000000E+00  -0.462139E+02   0.751083E-07   0.220353E-03  -0.112155E-05
   151   0.441475E+04   0.108842E+01   0.000000E+00  -0.462492E+02   0.746776E-07   0.218428E-03  -0.110806E-05
   152   0.444739E+04   0.108295E+01   0.000000E+00  -0.462602E+02   0.742503E-07   0.216522E-03  -0.109425E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462468E+02   0.738266E-07   0.214636E-03  -0.108013E-05
   154   0.451202E+04   0.107075E+01   0.000000E+00  -0.462087E+02   0.734062E-07   0.212769E-03  -0.106575E-05
   155   0.454400E+04   0.106404E+01   0.000000E+00  -0.461456E+02   0.729893E-07   0.210922E-03  -0.105110E-05
   156   0.457576E+04   0.105694E+01   0.000000E+00  -0.460572E+02   0.725759E-07   0.209094E-03  -0.103622E-05
   157   0.460728E+04   0.104946E+01   0.000000E+00  -0.459434E+02   0.721657E-07   0.207284E-03  -0.102114E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458038E+02   0.717590E-07   0.205494E-03  -0.100586E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456383E+02   0.713556E-07   0.203722E-03  -0.990417E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454467E+02   0.709555E-07   0.201970E-03  -0.974829E-06
   161   0.473088E+04   0.101606E+01   0.000000E+00  -0.452287E+02   0.705587E-07   0.200235E-03  -0.959118E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449842E+02   0.701652E-07   0.198520E-03  -0.943306E-06
   163   0.479100E+04   0.997488E+00   0.000000E+00  -0.447128E+02   0.697749E-07   0.196822E-03  -0.927416E-06
   164   0.482060E+04   0.987790E+00   0.000000E+00  -0.444146E+02   0.693878E-07   0.195143E-03  -0.911468E-06
   165   0.484987E+04   0.977839E+00   0.000000E+00  -0.440891E+02   0.690039E-07   0.193482E-03  -0.895486E-06
   166   0.487881E+04   0.967658E+00   0.000000E+00  -0.437365E+02   0.686232E-07   0.191840E-03  -0.879491E-06
   167   0.490741E+04   0.957269E+00   0.000000E+00  -0.433564E+02   0.682457E-07   0.190215E-03  -0.863506E-06
   168   0.493566E+04   0.946695E+00   0.000000E+00  -0.429490E+02   0.678713E-07   0.188608E-03  -0.847551E-06
   169   0.496355E+04   0.935957E+00   0.000000E+00  -0.425141E+02   0.675000E-07   0.187019E-03  -0.831650E-06
   170   0.499108E+04   0.925071E+00   0.000000E+00  -0.420516E+02   0.671318E-07   0.185447E-03  -0.815823E-06
   171   0.501822E+04   0.914066E+00   0.000000E+00  -0.415614E+02   0.667666E-07   0.183893E-03  -0.800094E-06
   172   0.504499E+04   0.902964E+00   0.000000E+00  -0.410436E+02   0.664045E-07   0.182356E-03  -0.784484E-06
   173   0.507136E+04   0.891787E+00   0.000000E+00  -0.404981E+02   0.660454E-07   0.180837E-03  -0.769014E-06
   174   0.509732E+04   0.880558E+00   0.000000E+00  -0.399248E+02   0.656894E-07   0.179334E-03  -0.753708E-06
   175   0.512288E+04   0.869314E+00   0.000000E+00  -0.393239E+02   0.653363E-07   0.177849E-03  -0.738587E-06
   176   0.514802E+04   0.858070E+00   0.000000E+00  -0.386954E+02   0.649861E-07   0.176381E-03  -0.723667E-06
   177   0.517273E+04   0.846862E+00   0.000000E+00  -0.380391E+02   0.646389E-07   0.174930E-03  -0.708942E-06
   178   0.519700E+04   0.835713E+00   0.000000E+00  -0.373553E+02   0.642946E-07   0.173494E-03  -0.694401E-06
   179   0.522082E+04   0.824646E+00   0.000000E+00  -0.366438E+02   0.639531E-07   0.172075E-03  -0.680032E-06
   180   0.524420E+04   0.813697E+00   0.000000E+00  -0.359050E+02   0.636145E-07   0.170671E-03  -0.665824E-06
   181   0.526711E+04   0.802896E+00   0.000000E+00  -0.351388E+02   0.632788E-07   0.169283E-03  -0.651765E-06
   182   0.528955E+04   0.792274E+00   0.000000E+00  -0.343454E+02   0.629457E-07   0.167910E-03  -0.637844E-06
   183   0.531153E+04   0.781852E+00   0.000000E+00  -0.335249E+02   0.626155E-07   0.166551E-03  -0.624049E-06
   184   0.533302E+04   0.771667E+00   0.000000E+00  -0.326776E+02   0.622880E-07   0.165206E-03  -0.610369E-06
   185   0.535403E+04   0.761757E+00   0.000000E+00  -0.318034E+02   0.619632E-07   0.163875E-03  -0.596791E-06
   186   0.537453E+04   0.752143E+00   0.000000E+00  -0.309026E+02   0.616410E-07   0.162558E-03  -0.583306E-06
   187   0.539454E+04   0.742857E+00   0.000000E+00  -0.299754E+02   0.613216E-07   0.161254E-03  -0.569900E-06
   188   0.541404E+04   0.733939E+00   0.000000E+00  -0.290220E+02   0.610047E-07   0.159963E-03  -0.556563E-06
   189   0.543302E+04   0.725419E+00   0.000000E+00  -0.280426E+02   0.606904E-07   0.158685E-03  -0.543283E-06
   190   0.545148E+04   0.717333E+00   0.000000E+00  -0.270375E+02   0.603787E-07   0.157418E-03  -0.530049E-06
   191   0.546941E+04   0.709711E+00   0.000000E+00  -0.260070E+02   0.600695E-07   0.156164E-03  -0.516849E-06
   192   0.548680E+04   0.702589E+00   0.000000E+00  -0.249511E+02   0.597629E-07   0.154921E-03  -0.503671E-06
   193   0.550364E+04   0.696001E+00   0.000000E+00  -0.238702E+02   0.594587E-07   0.153689E-03  -0.490504E-06
   194   0.551994E+04   0.689981E+00   0.000000E+00  -0.227648E+02   0.591569E-07   0.152468E-03  -0.477338E-06
   195   0.553568E+04   0.684566E+00   0.000000E+00  -0.216349E+02   0.588576E-07   0.151258E-03  -0.464159E-06
   196   0.555086E+04   0.679791E+00   0.000000E+00  -0.204812E+02   0.585607E-07   0.150057E-03  -0.450957E-06
   197   0.556550E+04   0.675694E+00   0.000000E+00  -0.193038E+02   0.582661E-07   0.148867E-03  -0.437720E-06
   198   0.557957E+04   0.672310E+00   0.000000E+00  -0.181032E+02   0.579739E-07   0.147686E-03  -0.424436E-06
   199   0.559307E+04   0.669675E+00   0.000000E+00  -0.168796E+02   0.576840E-07   0.146514E-03  -0.411095E-06
   200   0.560600E+04   0.667825E+00   0.000000E+00  -0.156337E+02   0.573964E-07   0.145351E-03  -0.397684E-06
   201   0.561836E+04   0.666796E+00   0.000000E+00  -0.143655E+02   0.571111E-07   0.144196E-03  -0.384195E-06
   202   0.563014E+04   0.666626E+00   0.000000E+00  -0.130757E+02   0.568280E-07   0.143050E-03  -0.370629E-06
   203   0.564131E+04   0.667352E+00   0.000000E+00  -0.117646E+02   0.565471E-07   0.141912E-03  -0.356988E-06
   204   0.565188E+04   0.669008E+00   0.000000E+00  -0.104326E+02   0.562684E-07   0.140782E-03  -0.343275E-06
   205   0.566182E+04   0.671634E+00   0.000000E+00  -0.908023E+01   0.559919E-07   0.139661E-03  -0.329495E-06
   206   0.567114E+04   0.675264E+00   0.000000E+00  -0.770779E+01   0.557176E-07   0.138547E-03  -0.315649E-06
   207   0.567982E+04   0.679936E+00   0.000000E+00  -0.631569E+01   0.554455E-07   0.137442E-03  -0.301741E-06
   208   0.568786E+04   0.685687E+00   0.000000E+00  -0.490453E+01   0.551754E-07   0.136345E-03  -0.287774E-06
   209   0.569528E+04   0.692552E+00   0.000000E+00  -0.347485E+01   0.549075E-07   0.135256E-03  -0.273751E-06
   210   0.570208E+04   0.700569E+00   0.000000E+00  -0.202719E+01   0.546416E-07   0.134175E-03  -0.259675E-06
   211   0.570825E+04   0.709776E+00   0.000000E+00  -0.562119E+00   0.543778E-07   0.133102E-03  -0.245550E-06
   212   0.571382E+04   0.720207E+00   0.000000E+00   0.919814E+00   0.541161E-07   0.132037E-03  -0.231379E-06
   213   0.571878E+04   0.731900E+00   0.000000E+00   0.241805E+01   0.538564E-07   0.130979E-03  -0.217164E-06
   214   0.572314E+04   0.744893E+00   0.000000E+00   0.393204E+01   0.535988E-07   0.129930E-03  -0.202909E-06
   215   0.572690E+04   0.759214E+00   0.000000E+00   0.546119E+01   0.533431E-07   0.128888E-03  -0.188617E-06
   216   0.573004E+04   0.774909E+00   0.000000E+00   0.700491E+01   0.530894E-07   0.127853E-03  -0.174291E-06
   217   0.573257E+04   0.792009E+00   0.000000E+00   0.856259E+01   0.528377E-07   0.126827E-03  -0.159934E-06
   218   0.573449E+04   0.810542E+00   0.000000E+00   0.101337E+02   0.525879E-07   0.125808E-03  -0.145549E-06
   219   0.573578E+04   0.830554E+00   0.000000E+00   0.117176E+02   0.523401E-07   0.124796E-03  -0.131139E-06
   220   0.573644E+04   0.852073E+00   0.000000E+00   0.133137E+02   0.520941E-07   0.123792E-03  -0.116709E-06
   221   0.573648E+04   0.875130E+00   0.000000E+00   0.149213E+02   0.518501E-07   0.122795E-03  -0.102259E-06
   222   0.573589E+04   0.899769E+00   0.000000E+00   0.165400E+02   0.516079E-07   0.121806E-03  -0.877946E-07
   223   0.573466E+04   0.926013E+00   0.000000E+00   0.181690E+02   0.513675E-07   0.120824E-03  -0.733179E-07
   224   0.573281E+04   0.953899E+00   0.000000E+00   0.198076E+02   0.511290E-07   0.119849E-03  -0.588321E-07
   225   0.573033E+04   0.983448E+00   0.000000E+00   0.214552E+02   0.508924E-07   0.118882E-03  -0.443404E-07
   226   0.572723E+04   0.101471E+01   0.000000E+00   0.231111E+02   0.506575E-07   0.117921E-03  -0.298458E-07
   227   0.572350E+04   0.104770E+01   0.000000E+00   0.247747E+02   0.504243E-07   0.116968E-03  -0.153516E-07
   228   0.571915E+04   0.108246E+01   0.000000E+00   0.264452E+02   0.501930E-07   0.116022E-03  -0.860791E-09
   229   0.571419E+04   0.111901E+01   0.000000E+00   0.281221E+02   0.499634E-07   0.115082E-03   0.136235E-07
   230   0.570860E+04   0.115739E+01   0.000000E+00   0.298046E+02   0.497355E-07   0.114150E-03   0.280981E-07
   231   0.570239E+04   0.119762E+01   0.000000E+00   0.314920E+02   0.495093E-07   0.113225E-03   0.425600E-07
