#    L    TT             EE             BB             TE          
    91   0.242669E+04   0.638498E+00   0.265037E-02  -0.172907E+02
    92   0.245595E+04   0.654050E+00   0.270931E-02  -0.179262E+02
    93   0.248544E+04   0.669572E+00   0.276893E-02  -0.185662E+02
    94   0.251513E+04   0.685052E+00   0.282925E-02  -0.192104E+02
    95   0.254506E+04   0.700476E+00   0.289027E-02  -0.198585E+02
    96   0.257521E+04   0.715829E+00   0.295199E-02  -0.205099E+02
    97   0.260559E+04   0.731096E+00   0.301441E-02  -0.211642E+02
    98   0.263619E+04   0.746263E+00   0.307755E-02  -0.218210E+02
    99   0.266700E+04   0.761315E+00   0.314139E-02  -0.224797E+02
   100   0.269803E+04   0.776241E+00   0.320595E-02  -0.231399E+02
   101   0.272928E+04   0.791025E+00   0.327122E-02  -0.238010E+02
   102   0.276075E+04   0.805647E+00   0.333722E-02  -0.244628E+02
   103   0.279242E+04   0.820106E+00   0.340395E-02  -0.251244E+02
   104   0.282429E+04   0.834373E+00   0.347140E-02  -0.257854E+02
   105   0.285635E+04   0.848441E+00   0.353959E-02  -0.264454E+02
   106   0.288861E+04   0.862295E+00   0.360852E-02  -0.271035E+02
   107   0.292104E+04   0.875927E+00   0.367819E-02  -0.277595E+02
   108   0.295364E+04   0.889317E+00   0.374860E-02  -0.284126E+02
   109   0.298642E+04   0.902456E+00   0.381977E-02  -0.290623E+02
   110   0.301935E+04   0.915323E+00   0.389169E-02  -0.297081E+02
   111   0.305243E+04   0.927910E+00   0.396437E-02  -0.303495E+02
   112   0.308567E+04   0.940210E+00   0.403781E-02  -0.309857E+02
   113   0.311905E+04   0.952201E+00   0.411201E-02  -0.316164E+02
   114   0.315257E+04   0.963867E+00   0.418699E-02  -0.322409E+02
   115   0.318621E+04   0.975209E+00   0.426275E-02  -0.328585E+02
   116   0.321998E+04   0.986211E+00   0.433929E-02  -0.334690E+02
   117   0.325387E+04   0.996851E+00   0.441661E-02  -0.340715E+02
   118   0.328786E+04   0.100713E+01   0.449473E-02  -0.346655E+02
   119   0.332195E+04   0.101703E+01   0.457364E-02  -0.352505E+02
   120   0.335614E+04   0.102655E+01   0.465336E-02  -0.358260E+02
   121   0.339041E+04   0.103566E+01   0.473388E-02  -0.363913E+02
   122   0.342475E+04   0.104437E+01   0.481521E-02  -0.369460E+02
   123   0.345916E+04   0.105267E+01   0.489736E-02  -0.374895E+02
   124   0.349364E+04   0.106053E+01   0.498033E-02  -0.380212E+02
   125   0.352816E+04   0.106797E+01   0.506414E-02  -0.385405E+02
   126   0.356272E+04   0.107496E+01   0.514877E-02  -0.390470E+02
   127   0.359732E+04   0.108150E+01   0.523425E-02  -0.395402E+02
   128   0.363194E+04   0.108759E+01   0.532058E-02  -0.400194E+02
   129   0.366657E+04   0.109322E+01   0.540776E-02  -0.404842E+02
   130   0.370122E+04   0.109837E+01   0.549581E-02  -0.409340E+02
   131   0.373585E+04   0.110304E+01   0.558472E-02  -0.413683E+02
   132   0.377048E+04   0.110724E+01   0.567450E-02  -0.417867E+02
   133   0.380509E+04   0.111096E+01   0.576516E-02  -0.421886E+02
   134   0.383967E+04   0.111419E+01   0.585671E-02  -0.425736E+02
   135   0.387422E+04   0.111693E+01   0.594915E-02  -0.429413E+02
