#    L    TT             EE             BB             TE          
   391   0.180284E+04   0.215694E+02   0.426312E-01   0.169007E+02
   392   0.179486E+04   0.215820E+02   0.427629E-01   0.149610E+02
   393   0.178733E+04   0.215907E+02   0.428951E-01   0.130250E+02
   394   0.178022E+04   0.215955E+02   0.430280E-01   0.110934E+02
   395   0.177353E+04   0.215963E+02   0.431616E-01   0.916713E+01
   396   0.176727E+04   0.215932E+02   0.432958E-01   0.724683E+01
   397   0.176142E+04   0.215860E+02   0.434307E-01   0.533332E+01
   398   0.175600E+04   0.215750E+02   0.435662E-01   0.342734E+01
   399   0.175100E+04   0.215599E+02   0.437025E-01   0.152967E+01
   400   0.174641E+04   0.215409E+02   0.438395E-01  -0.358935E+00
   401   0.174224E+04   0.215180E+02   0.439773E-01  -0.223773E+01
   402   0.173848E+04   0.214911E+02   0.441158E-01  -0.410595E+01
   403   0.173513E+04   0.214604E+02   0.442551E-01  -0.596286E+01
   404   0.173219E+04   0.214257E+02   0.443951E-01  -0.780766E+01
   405   0.172964E+04   0.213871E+02   0.445360E-01  -0.963963E+01
   406   0.172749E+04   0.213447E+02   0.446776E-01  -0.114581E+02
   407   0.172573E+04   0.212984E+02   0.448201E-01  -0.132622E+02
   408   0.172436E+04   0.212482E+02   0.449635E-01  -0.150511E+02
   409   0.172336E+04   0.211944E+02   0.451077E-01  -0.168242E+02
   410   0.172275E+04   0.211367E+02   0.452527E-01  -0.185807E+02
   411   0.172250E+04   0.210753E+02   0.453987E-01  -0.203201E+02
   412   0.172261E+04   0.210101E+02   0.455455E-01  -0.220415E+02
   413   0.172310E+04   0.209413E+02   0.456933E-01  -0.237445E+02
   414   0.172393E+04   0.208689E+02   0.458419E-01  -0.254284E+02
   415   0.172512E+04   0.207928E+02   0.459915E-01  -0.270925E+02
   416   0.172665E+04   0.207132E+02   0.461420E-01  -0.287363E+02
   417   0.172853E+04   0.206301E+02   0.462935E-01  -0.303590E+02
   418   0.173074E+04   0.205435E+02   0.464459E-01  -0.319601E+02
   419   0.173328E+04   0.204535E+02   0.465993E-01  -0.335389E+02
   420   0.173616E+04   0.203599E+02   0.467537E-01  -0.350948E+02
   421   0.173935E+04   0.202631E+02   0.469091E-01  -0.366271E+02
   422   0.174286E+04   0.201628E+02   0.470654E-01  -0.381351E+02
   423   0.174669E+04   0.200592E+02   0.472227E-01  -0.396183E+02
   424   0.175083E+04   0.199523E+02   0.473811E-01  -0.410761E+02
   425   0.175526E+04   0.198421E+02   0.475405E-01  -0.425079E+02
   426   0.175999E+04   0.197288E+02   0.477008E-01  -0.439134E+02
   427   0.176499E+04   0.196125E+02   0.478622E-01  -0.452922E+02
   428   0.177028E+04   0.194932E+02   0.480246E-01  -0.466437E+02
   429   0.177584E+04   0.193710E+02   0.481881E-01  -0.479677E+02
   430   0.178165E+04   0.192458E+02   0.483525E-01  -0.492636E+02
   431   0.178773E+04   0.191181E+02   0.485180E-01  -0.505310E+02
   432   0.179405E+04   0.189876E+02   0.486846E-01  -0.517697E+02
   433   0.180063E+04   0.188544E+02   0.488521E-01  -0.529789E+02
   434   0.180744E+04   0.187188E+02   0.490207E-01  -0.541584E+02
   435   0.181448E+04   0.185805E+02   0.491903E-01  -0.553077E+02
   436   0.182176E+04   0.184399E+02   0.493609E-01  -0.564264E+02
   437   0.182926E+04   0.182968E+02   0.495325E-01  -0.575141E+02
   438   0.183697E+04   0.181514E+02   0.497051E-01  -0.585703E+02
   439   0.184491E+04   0.180037E+02   0.498788E-01  -0.595946E+02
   440   0.185304E+04   0.178539E+02   0.500534E-01  -0.605868E+02
   441   0.186137E+04   0.177019E+02   0.502291E-01  -0.615465E+02
   442   0.186988E+04   0.175479E+02   0.504057E-01  -0.624736E+02
   443   0.187857E+04   0.173920E+02   0.505833E-01  -0.633675E+02
   444   0.188743E+04   0.172343E+02   0.507619E-01  -0.642280E+02
   445   0.189644E+04   0.170747E+02   0.509414E-01  -0.650549E+02
   446   0.190561E+04   0.169134E+02   0.511219E-01  -0.658479E+02
   447   0.191491E+04   0.167506E+02   0.513033E-01  -0.666070E+02
   448   0.192437E+04   0.165863E+02   0.514856E-01  -0.673320E+02
   449   0.193397E+04   0.164206E+02   0.516689E-01  -0.680228E+02
   450   0.194369E+04   0.162535E+02   0.518531E-01  -0.686792E+02
   451   0.195354E+04   0.160852E+02   0.520381E-01  -0.693013E+02
   452   0.196352E+04   0.159157E+02   0.522241E-01  -0.698887E+02
   453   0.197361E+04   0.157452E+02   0.524109E-01  -0.704413E+02
   454   0.198381E+04   0.155737E+02   0.525985E-01  -0.709590E+02
   455   0.199410E+04   0.154014E+02   0.527870E-01  -0.714416E+02
   456   0.200447E+04   0.152282E+02   0.529763E-01  -0.718888E+02
   457   0.201492E+04   0.150543E+02   0.531664E-01  -0.723006E+02
   458   0.202543E+04   0.148798E+02   0.533573E-01  -0.726766E+02
   459   0.203600E+04   0.147047E+02   0.535489E-01  -0.730170E+02
   460   0.204662E+04   0.145292E+02   0.537413E-01  -0.733218E+02
   461   0.205728E+04   0.143534E+02   0.539344E-01  -0.735902E+02
   462   0.206800E+04   0.141774E+02   0.541283E-01  -0.738247E+02
   463   0.207874E+04   0.140012E+02   0.543228E-01  -0.740235E+02
   464   0.208953E+04   0.138251E+02   0.545180E-01  -0.741876E+02
   465   0.210035E+04   0.136491E+02   0.547138E-01  -0.743169E+02
   466   0.211119E+04   0.134733E+02   0.549103E-01  -0.744121E+02
   467   0.212206E+04   0.132979E+02   0.551075E-01  -0.744726E+02
   468   0.213293E+04   0.131229E+02   0.553052E-01  -0.744991E+02
   469   0.214381E+04   0.129484E+02   0.555035E-01  -0.744916E+02
   470   0.215468E+04   0.127744E+02   0.557023E-01  -0.744500E+02
   471   0.216552E+04   0.126012E+02   0.559017E-01  -0.743737E+02
   472   0.217635E+04   0.124288E+02   0.561016E-01  -0.742642E+02
   473   0.218713E+04   0.122573E+02   0.563020E-01  -0.741200E+02
   474   0.219787E+04   0.120867E+02   0.565028E-01  -0.739432E+02
   475   0.220857E+04   0.119172E+02   0.567042E-01  -0.737325E+02
   476   0.221922E+04   0.117490E+02   0.569059E-01  -0.734886E+02
   477   0.222982E+04   0.115820E+02   0.571081E-01  -0.732121E+02
   478   0.224036E+04   0.114164E+02   0.573106E-01  -0.729032E+02
   479   0.225085E+04   0.112524E+02   0.575135E-01  -0.725629E+02
   480   0.226126E+04   0.110900E+02   0.577168E-01  -0.721906E+02
   481   0.227162E+04   0.109291E+02   0.579203E-01  -0.717869E+02
   482   0.228188E+04   0.107702E+02   0.581242E-01  -0.713523E+02
   483   0.229207E+04   0.106131E+02   0.583283E-01  -0.708871E+02
   484   0.230215E+04   0.104580E+02   0.585327E-01  -0.703916E+02
   485   0.231213E+04   0.103050E+02   0.587373E-01  -0.698662E+02
   486   0.232200E+04   0.101542E+02   0.589421E-01  -0.693113E+02
   487   0.233176E+04   0.100055E+02   0.591470E-01  -0.687272E+02
   488   0.234139E+04   0.985938E+01   0.593522E-01  -0.681145E+02
   489   0.235090E+04   0.971558E+01   0.595574E-01  -0.674735E+02
   490   0.236028E+04   0.957437E+01   0.597628E-01  -0.668049E+02
   491   0.236953E+04   0.943583E+01   0.599682E-01  -0.661091E+02
   492   0.237865E+04   0.929994E+01   0.601737E-01  -0.653866E+02
   493   0.238763E+04   0.916685E+01   0.603791E-01  -0.646379E+02
   494   0.239648E+04   0.903670E+01   0.605846E-01  -0.638635E+02
   495   0.240517E+04   0.890958E+01   0.607901E-01  -0.630640E+02
   496   0.241373E+04   0.878547E+01   0.609955E-01  -0.622398E+02
   497   0.242212E+04   0.866452E+01   0.612008E-01  -0.613914E+02
   498   0.243035E+04   0.854680E+01   0.614060E-01  -0.605196E+02
   499   0.243841E+04   0.843238E+01   0.616111E-01  -0.596247E+02
   500   0.244630E+04   0.832141E+01   0.618159E-01  -0.587073E+02
   501   0.245400E+04   0.821388E+01   0.620206E-01  -0.577679E+02
   502   0.246152E+04   0.810994E+01   0.622251E-01  -0.568073E+02
   503   0.246886E+04   0.800958E+01   0.624293E-01  -0.558259E+02
   504   0.247600E+04   0.791303E+01   0.626333E-01  -0.548247E+02
   505   0.248296E+04   0.782020E+01   0.628369E-01  -0.538042E+02
   506   0.248972E+04   0.773124E+01   0.630402E-01  -0.527651E+02
   507   0.249630E+04   0.764624E+01   0.632431E-01  -0.517081E+02
   508   0.250268E+04   0.756527E+01   0.634456E-01  -0.506338E+02
   509   0.250885E+04   0.748838E+01   0.636477E-01  -0.495429E+02
   510   0.251484E+04   0.741564E+01   0.638493E-01  -0.484362E+02
   511   0.252061E+04   0.734710E+01   0.640504E-01  -0.473142E+02
   512   0.252619E+04   0.728282E+01   0.642511E-01  -0.461778E+02
   513   0.253156E+04   0.722287E+01   0.644511E-01  -0.450275E+02
   514   0.253672E+04   0.716731E+01   0.646506E-01  -0.438640E+02
   515   0.254167E+04   0.711618E+01   0.648495E-01  -0.426880E+02
   516   0.254641E+04   0.706954E+01   0.650478E-01  -0.415003E+02
   517   0.255093E+04   0.702745E+01   0.652454E-01  -0.403016E+02
   518   0.255523E+04   0.698996E+01   0.654423E-01  -0.390925E+02
   519   0.255931E+04   0.695711E+01   0.656384E-01  -0.378738E+02
   520   0.256316E+04   0.692896E+01   0.658339E-01  -0.366462E+02
   521   0.256679E+04   0.690555E+01   0.660285E-01  -0.354105E+02
   522   0.257018E+04   0.688693E+01   0.662223E-01  -0.341673E+02
   523   0.257334E+04   0.687315E+01   0.664153E-01  -0.329174E+02
   524   0.257627E+04   0.686422E+01   0.666075E-01  -0.316615E+02
   525   0.257896E+04   0.686019E+01   0.667987E-01  -0.304003E+02
   526   0.258143E+04   0.686107E+01   0.669890E-01  -0.291345E+02
   527   0.258367E+04   0.686690E+01   0.671784E-01  -0.278648E+02
   528   0.258568E+04   0.687773E+01   0.673668E-01  -0.265921E+02
   529   0.258746E+04   0.689355E+01   0.675542E-01  -0.253169E+02
   530   0.258901E+04   0.691441E+01   0.677406E-01  -0.240402E+02
   531   0.259033E+04   0.694032E+01   0.679260E-01  -0.227625E+02
   532   0.259143E+04   0.697130E+01   0.681103E-01  -0.214849E+02
   533   0.259229E+04   0.700736E+01   0.682935E-01  -0.202079E+02
   534   0.259292E+04   0.704852E+01   0.684755E-01  -0.189325E+02
   535   0.259333E+04   0.709481E+01   0.686565E-01  -0.176593E+02
   536   0.259349E+04   0.714624E+01   0.688362E-01  -0.163892E+02
   537   0.259344E+04   0.720281E+01   0.690148E-01  -0.151229E+02
   538   0.259316E+04   0.726453E+01   0.691922E-01  -0.138610E+02
   539   0.259265E+04   0.733139E+01   0.693684E-01  -0.126045E+02
   540   0.259191E+04   0.740340E+01   0.695434E-01  -0.113539E+02
   541   0.259095E+04   0.748057E+01   0.697171E-01  -0.101099E+02
   542   0.258977E+04   0.756289E+01   0.698895E-01  -0.887346E+01
   543   0.258836E+04   0.765036E+01   0.700606E-01  -0.764510E+01
   544   0.258674E+04   0.774297E+01   0.702304E-01  -0.642557E+01
   545   0.258490E+04   0.784070E+01   0.703989E-01  -0.521553E+01
   546   0.258284E+04   0.794355E+01   0.705660E-01  -0.401564E+01
   547   0.258056E+04   0.805149E+01   0.707318E-01  -0.282659E+01
   548   0.257807E+04   0.816444E+01   0.708962E-01  -0.164901E+01
   549   0.257537E+04   0.828255E+01   0.710592E-01  -0.483605E+00
   550   0.257245E+04   0.840559E+01   0.712209E-01   0.668976E+00
   551   0.256933E+04   0.853371E+01   0.713811E-01   0.180804E+01
   552   0.256600E+04   0.866677E+01   0.715399E-01   0.293289E+01
   553   0.256247E+04   0.880475E+01   0.716973E-01   0.404285E+01
   554   0.255874E+04   0.894767E+01   0.718532E-01   0.513723E+01
   555   0.255482E+04   0.909544E+01   0.720077E-01   0.621533E+01
   556   0.255069E+04   0.924806E+01   0.721608E-01   0.727646E+01
   557   0.254639E+04   0.940546E+01   0.723123E-01   0.832001E+01
   558   0.254190E+04   0.956763E+01   0.724624E-01   0.934525E+01
   559   0.253722E+04   0.973450E+01   0.726110E-01   0.103517E+02
   560   0.253235E+04   0.990608E+01   0.727581E-01   0.113387E+02
   561   0.252732E+04   0.100822E+02   0.729037E-01   0.123056E+02
   562   0.252210E+04   0.102630E+02   0.730478E-01   0.132521E+02
   563   0.251671E+04   0.104482E+02   0.731904E-01   0.141772E+02
   564   0.251116E+04   0.106379E+02   0.733315E-01   0.150806E+02
   565   0.250542E+04   0.108320E+02   0.734710E-01   0.159618E+02
   566   0.249953E+04   0.110305E+02   0.736090E-01   0.168202E+02
   567   0.249348E+04   0.112332E+02   0.737455E-01   0.176551E+02
   568   0.248726E+04   0.114401E+02   0.738805E-01   0.184663E+02
   569   0.248089E+04   0.116512E+02   0.740139E-01   0.192532E+02
   570   0.247437E+04   0.118663E+02   0.741458E-01   0.200153E+02
   571   0.246769E+04   0.120855E+02   0.742762E-01   0.207520E+02
   572   0.246088E+04   0.123086E+02   0.744050E-01   0.214631E+02
   573   0.245392E+04   0.125355E+02   0.745322E-01   0.221480E+02
   574   0.244682E+04   0.127662E+02   0.746579E-01   0.228065E+02
   575   0.243960E+04   0.130007E+02   0.747821E-01   0.234381E+02
   576   0.243225E+04   0.132387E+02   0.749047E-01   0.240426E+02
   577   0.242479E+04   0.134803E+02   0.750258E-01   0.246194E+02
   578   0.241720E+04   0.137253E+02   0.751454E-01   0.251681E+02
   579   0.240950E+04   0.139738E+02   0.752634E-01   0.256886E+02
   580   0.240170E+04   0.142255E+02   0.753799E-01   0.261804E+02
   581   0.239380E+04   0.144804E+02   0.754948E-01   0.266431E+02
   582   0.238580E+04   0.147384E+02   0.756082E-01   0.270764E+02
   583   0.237771E+04   0.149994E+02   0.757201E-01   0.274799E+02
   584   0.236953E+04   0.152634E+02   0.758305E-01   0.278534E+02
   585   0.236127E+04   0.155301E+02   0.759393E-01   0.281964E+02
   586   0.235292E+04   0.157996E+02   0.760467E-01   0.285087E+02
   587   0.234450E+04   0.160717E+02   0.761525E-01   0.287901E+02
   588   0.233602E+04   0.163463E+02   0.762568E-01   0.290404E+02
   589   0.232746E+04   0.166234E+02   0.763597E-01   0.292593E+02
   590   0.231885E+04   0.169028E+02   0.764611E-01   0.294466E+02
   591   0.231018E+04   0.171844E+02   0.765610E-01   0.296022E+02
   592   0.230146E+04   0.174681E+02   0.766594E-01   0.297257E+02
   593   0.229269E+04   0.177539E+02   0.767564E-01   0.298170E+02
   594   0.228387E+04   0.180415E+02   0.768520E-01   0.298760E+02
   595   0.227502E+04   0.183309E+02   0.769461E-01   0.299027E+02
   596   0.226614E+04   0.186220E+02   0.770388E-01   0.298968E+02
   597   0.225722E+04   0.189147E+02   0.771301E-01   0.298582E+02
   598   0.224828E+04   0.192088E+02   0.772200E-01   0.297869E+02
   599   0.223932E+04   0.195042E+02   0.773086E-01   0.296827E+02
   600   0.223035E+04   0.198009E+02   0.773958E-01   0.295456E+02
   601   0.222136E+04   0.200987E+02   0.774816E-01   0.293756E+02
   602   0.221236E+04   0.203975E+02   0.775661E-01   0.291728E+02
   603   0.220337E+04   0.206972E+02   0.776494E-01   0.289371E+02
   604   0.219438E+04   0.209976E+02   0.777313E-01   0.286685E+02
   605   0.218538E+04   0.212987E+02   0.778119E-01   0.283672E+02
   606   0.217641E+04   0.216003E+02   0.778913E-01   0.280331E+02
   607   0.216744E+04   0.219024E+02   0.779695E-01   0.276662E+02
   608   0.215850E+04   0.222047E+02   0.780464E-01   0.272667E+02
   609   0.214959E+04   0.225072E+02   0.781222E-01   0.268347E+02
   610   0.214070E+04   0.228098E+02   0.781968E-01   0.263703E+02
   611   0.213185E+04   0.231122E+02   0.782702E-01   0.258735E+02
   612   0.212304E+04   0.234144E+02   0.783426E-01   0.253444E+02
   613   0.211426E+04   0.237164E+02   0.784138E-01   0.247832E+02
   614   0.210554E+04   0.240178E+02   0.784839E-01   0.241901E+02
   615   0.209686E+04   0.243187E+02   0.785530E-01   0.235653E+02
   616   0.208825E+04   0.246189E+02   0.786211E-01   0.229092E+02
   617   0.207969E+04   0.249184E+02   0.786882E-01   0.222220E+02
   618   0.207121E+04   0.252170E+02   0.787543E-01   0.215041E+02
   619   0.206279E+04   0.255146E+02   0.788194E-01   0.207556E+02
   620   0.205444E+04   0.258111E+02   0.788836E-01   0.199769E+02
   621   0.204618E+04   0.261065E+02   0.789470E-01   0.191682E+02
   622   0.203800E+04   0.264004E+02   0.790094E-01   0.183299E+02
   623   0.202990E+04   0.266929E+02   0.790711E-01   0.174623E+02
   624   0.202190E+04   0.269839E+02   0.791319E-01   0.165655E+02
   625   0.201399E+04   0.272732E+02   0.791919E-01   0.156400E+02
   626   0.200619E+04   0.275606E+02   0.792512E-01   0.146860E+02
   627   0.199847E+04   0.278461E+02   0.793097E-01   0.137038E+02
   628   0.199088E+04   0.281294E+02   0.793676E-01   0.126938E+02
   629   0.198338E+04   0.284107E+02   0.794247E-01   0.116565E+02
   630   0.197601E+04   0.286897E+02   0.794813E-01   0.105922E+02
   631   0.196874E+04   0.289661E+02   0.795372E-01   0.950127E+01
   632   0.196159E+04   0.292402E+02   0.795925E-01   0.838431E+01
   633   0.195458E+04   0.295116E+02   0.796473E-01   0.724157E+01
   634   0.194768E+04   0.297802E+02   0.797016E-01   0.607357E+01
   635   0.194092E+04   0.300460E+02   0.797554E-01   0.488078E+01
   636   0.193429E+04   0.303087E+02   0.798087E-01   0.366367E+01
   637   0.192779E+04   0.305685E+02   0.798615E-01   0.242274E+01
   638   0.192144E+04   0.308251E+02   0.799140E-01   0.115850E+01
   639   0.191522E+04   0.310785E+02   0.799661E-01  -0.128583E+00
   640   0.190916E+04   0.313284E+02   0.800178E-01  -0.143800E+01
   641   0.190324E+04   0.315749E+02   0.800692E-01  -0.276925E+01
   642   0.189746E+04   0.318178E+02   0.801203E-01  -0.412176E+01
   643   0.189185E+04   0.320570E+02   0.801712E-01  -0.549496E+01
   644   0.188638E+04   0.322925E+02   0.802218E-01  -0.688826E+01
   645   0.188108E+04   0.325240E+02   0.802722E-01  -0.830109E+01
   646   0.187594E+04   0.327514E+02   0.803224E-01  -0.973288E+01
   647   0.187095E+04   0.329748E+02   0.803725E-01  -0.111830E+02
   648   0.186614E+04   0.331939E+02   0.804224E-01  -0.126509E+02
   649   0.186148E+04   0.334087E+02   0.804723E-01  -0.141359E+02
   650   0.185700E+04   0.336191E+02   0.805221E-01  -0.156375E+02
   651   0.185269E+04   0.338251E+02   0.805718E-01  -0.171549E+02
   652   0.184855E+04   0.340267E+02   0.806215E-01  -0.186875E+02
   653   0.184458E+04   0.342237E+02   0.806713E-01  -0.202348E+02
   654   0.184080E+04   0.344161E+02   0.807211E-01  -0.217960E+02
   655   0.183720E+04   0.346038E+02   0.807709E-01  -0.233705E+02
   656   0.183377E+04   0.347867E+02   0.808208E-01  -0.249575E+02
   657   0.183052E+04   0.349649E+02   0.808709E-01  -0.265566E+02
   658   0.182746E+04   0.351382E+02   0.809211E-01  -0.281669E+02
   659   0.182458E+04   0.353065E+02   0.809715E-01  -0.297877E+02
   660   0.182189E+04   0.354697E+02   0.810220E-01  -0.314185E+02
   661   0.181938E+04   0.356278E+02   0.810728E-01  -0.330584E+02
   662   0.181707E+04   0.357807E+02   0.811239E-01  -0.347068E+02
   663   0.181494E+04   0.359284E+02   0.811752E-01  -0.363630E+02
   664   0.181300E+04   0.360706E+02   0.812268E-01  -0.380262E+02
   665   0.181125E+04   0.362076E+02   0.812787E-01  -0.396957E+02
   666   0.180968E+04   0.363391E+02   0.813310E-01  -0.413710E+02
   667   0.180831E+04   0.364651E+02   0.813837E-01  -0.430511E+02
   668   0.180713E+04   0.365856E+02   0.814367E-01  -0.447354E+02
   669   0.180614E+04   0.367005E+02   0.814902E-01  -0.464233E+02
   670   0.180534E+04   0.368098E+02   0.815441E-01  -0.481138E+02
   671   0.180474E+04   0.369135E+02   0.815985E-01  -0.498065E+02
   672   0.180433E+04   0.370114E+02   0.816534E-01  -0.515005E+02
   673   0.180410E+04   0.371036E+02   0.817088E-01  -0.531951E+02
   674   0.180407E+04   0.371901E+02   0.817648E-01  -0.548897E+02
   675   0.180423E+04   0.372707E+02   0.818213E-01  -0.565834E+02
   676   0.180459E+04   0.373455E+02   0.818784E-01  -0.582755E+02
   677   0.180513E+04   0.374145E+02   0.819361E-01  -0.599655E+02
   678   0.180586E+04   0.374775E+02   0.819944E-01  -0.616523E+02
   679   0.180679E+04   0.375346E+02   0.820534E-01  -0.633352E+02
   680   0.180790E+04   0.375857E+02   0.821131E-01  -0.650136E+02
   681   0.180920E+04   0.376307E+02   0.821735E-01  -0.666866E+02
   682   0.181068E+04   0.376697E+02   0.822345E-01  -0.683534E+02
   683   0.181235E+04   0.377025E+02   0.822964E-01  -0.700133E+02
   684   0.181421E+04   0.377292E+02   0.823589E-01  -0.716657E+02
   685   0.181624E+04   0.377499E+02   0.824223E-01  -0.733098E+02
   686   0.181846E+04   0.377645E+02   0.824865E-01  -0.749447E+02
   687   0.182086E+04   0.377732E+02   0.825514E-01  -0.765705E+02
   688   0.182344E+04   0.377758E+02   0.826172E-01  -0.781865E+02
   689   0.182620E+04   0.377725E+02   0.826839E-01  -0.797912E+02
   690   0.182913E+04   0.377633E+02   0.827514E-01  -0.813840E+02
   691   0.183224E+04   0.377482E+02   0.828198E-01  -0.829648E+02
   692   0.183553E+04   0.377271E+02   0.828891E-01  -0.845331E+02
   693   0.183899E+04   0.377001E+02   0.829593E-01  -0.860881E+02
   694   0.184262E+04   0.376673E+02   0.830305E-01  -0.876283E+02
   695   0.184642E+04   0.376286E+02   0.831026E-01  -0.891538E+02
   696   0.185037E+04   0.375838E+02   0.831756E-01  -0.906631E+02
   697   0.185450E+04   0.375334E+02   0.832496E-01  -0.921563E+02
   698   0.185878E+04   0.374770E+02   0.833246E-01  -0.936320E+02
   699   0.186323E+04   0.374148E+02   0.834006E-01  -0.950902E+02
   700   0.186783E+04   0.373468E+02   0.834776E-01  -0.965301E+02
   701   0.187258E+04   0.372731E+02   0.835557E-01  -0.979512E+02
   702   0.187747E+04   0.371936E+02   0.836347E-01  -0.993526E+02
   703   0.188252E+04   0.371086E+02   0.837148E-01  -0.100734E+03
   704   0.188773E+04   0.370178E+02   0.837959E-01  -0.102095E+03
   705   0.189306E+04   0.369216E+02   0.838781E-01  -0.103434E+03
   706   0.189854E+04   0.368198E+02   0.839613E-01  -0.104750E+03
   707   0.190416E+04   0.367126E+02   0.840455E-01  -0.106045E+03
   708   0.190990E+04   0.365999E+02   0.841309E-01  -0.107317E+03
   709   0.191579E+04   0.364820E+02   0.842173E-01  -0.108564E+03
   710   0.192179E+04   0.363588E+02   0.843048E-01  -0.109788E+03
   711   0.192792E+04   0.362303E+02   0.843933E-01  -0.110987E+03
   712   0.193418E+04   0.360967E+02   0.844829E-01  -0.112161E+03
   713   0.194055E+04   0.359580E+02   0.845736E-01  -0.113309E+03
   714   0.194704E+04   0.358142E+02   0.846654E-01  -0.114430E+03
   715   0.195364E+04   0.356655E+02   0.847582E-01  -0.115524E+03
   716   0.196035E+04   0.355117E+02   0.848521E-01  -0.116592E+03
   717   0.196715E+04   0.353530E+02   0.849471E-01  -0.117631E+03
   718   0.197406E+04   0.351894E+02   0.850432E-01  -0.118641E+03
   719   0.198106E+04   0.350211E+02   0.851403E-01  -0.119622E+03
   720   0.198816E+04   0.348481E+02   0.852384E-01  -0.120574E+03
   721   0.199535E+04   0.346707E+02   0.853377E-01  -0.121497E+03
   722   0.200262E+04   0.344887E+02   0.854379E-01  -0.122389E+03
   723   0.200998E+04   0.343024E+02   0.855392E-01  -0.123252E+03
   724   0.201742E+04   0.341119E+02   0.856416E-01  -0.124084E+03
   725   0.202494E+04   0.339173E+02   0.857449E-01  -0.124885E+03
   726   0.203254E+04   0.337186E+02   0.858493E-01  -0.125655E+03
   727   0.204021E+04   0.335160E+02   0.859547E-01  -0.126393E+03
   728   0.204795E+04   0.333095E+02   0.860611E-01  -0.127100E+03
   729   0.205575E+04   0.330993E+02   0.861685E-01  -0.127774E+03
   730   0.206361E+04   0.328853E+02   0.862769E-01  -0.128416E+03
   731   0.207154E+04   0.326678E+02   0.863862E-01  -0.129025E+03
   732   0.207950E+04   0.324467E+02   0.864965E-01  -0.129601E+03
   733   0.208752E+04   0.322222E+02   0.866077E-01  -0.130143E+03
   734   0.209559E+04   0.319944E+02   0.867199E-01  -0.130650E+03
   735   0.210369E+04   0.317634E+02   0.868329E-01  -0.131124E+03
   736   0.211183E+04   0.315293E+02   0.869469E-01  -0.131564E+03
   737   0.212000E+04   0.312922E+02   0.870618E-01  -0.131969E+03
   738   0.212820E+04   0.310522E+02   0.871775E-01  -0.132339E+03
   739   0.213642E+04   0.308094E+02   0.872941E-01  -0.132675E+03
   740   0.214466E+04   0.305641E+02   0.874116E-01  -0.132974E+03
   741   0.215291E+04   0.303162E+02   0.875298E-01  -0.133239E+03
   742   0.216117E+04   0.300659E+02   0.876489E-01  -0.133468E+03
   743   0.216944E+04   0.298133E+02   0.877688E-01  -0.133662E+03
   744   0.217771E+04   0.295586E+02   0.878895E-01  -0.133819E+03
   745   0.218597E+04   0.293019E+02   0.880109E-01  -0.133941E+03
   746   0.219422E+04   0.290433E+02   0.881331E-01  -0.134028E+03
   747   0.220246E+04   0.287829E+02   0.882559E-01  -0.134078E+03
   748   0.221069E+04   0.285208E+02   0.883795E-01  -0.134093E+03
   749   0.221889E+04   0.282571E+02   0.885038E-01  -0.134072E+03
   750   0.222707E+04   0.279920E+02   0.886288E-01  -0.134015E+03
   751   0.223522E+04   0.277255E+02   0.887544E-01  -0.133921E+03
   752   0.224333E+04   0.274578E+02   0.888806E-01  -0.133791E+03
   753   0.225141E+04   0.271889E+02   0.890074E-01  -0.133626E+03
   754   0.225944E+04   0.269191E+02   0.891348E-01  -0.133425E+03
   755   0.226744E+04   0.266484E+02   0.892628E-01  -0.133188E+03
   756   0.227537E+04   0.263770E+02   0.893914E-01  -0.132916E+03
   757   0.228328E+04   0.261051E+02   0.895204E-01  -0.132608E+03
   758   0.229112E+04   0.258327E+02   0.896500E-01  -0.132265E+03
   759   0.229892E+04   0.255601E+02   0.897800E-01  -0.131887E+03
   760   0.230665E+04   0.252872E+02   0.899105E-01  -0.131475E+03
   761   0.231433E+04   0.250144E+02   0.900414E-01  -0.131027E+03
   762   0.232194E+04   0.247416E+02   0.901727E-01  -0.130545E+03
   763   0.232948E+04   0.244690E+02   0.903044E-01  -0.130029E+03
   764   0.233695E+04   0.241966E+02   0.904364E-01  -0.129477E+03
   765   0.234433E+04   0.239247E+02   0.905688E-01  -0.128891E+03
   766   0.235163E+04   0.236534E+02   0.907015E-01  -0.128270E+03
   767   0.235884E+04   0.233825E+02   0.908345E-01  -0.127614E+03
   768   0.236595E+04   0.231125E+02   0.909677E-01  -0.126924E+03
   769   0.237296E+04   0.228434E+02   0.911011E-01  -0.126201E+03
   770   0.237988E+04   0.225753E+02   0.912348E-01  -0.125444E+03
   771   0.238669E+04   0.223084E+02   0.913686E-01  -0.124654E+03
   772   0.239338E+04   0.220429E+02   0.915026E-01  -0.123830E+03
   773   0.239996E+04   0.217788E+02   0.916366E-01  -0.122975E+03
   774   0.240642E+04   0.215162E+02   0.917708E-01  -0.122088E+03
   775   0.241275E+04   0.212554E+02   0.919051E-01  -0.121169E+03
   776   0.241897E+04   0.209965E+02   0.920393E-01  -0.120220E+03
   777   0.242507E+04   0.207394E+02   0.921736E-01  -0.119240E+03
   778   0.243105E+04   0.204844E+02   0.923078E-01  -0.118230E+03
   779   0.243690E+04   0.202316E+02   0.924420E-01  -0.117190E+03
   780   0.244263E+04   0.199810E+02   0.925761E-01  -0.116121E+03
   781   0.244824E+04   0.197328E+02   0.927101E-01  -0.115024E+03
